Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,32,4,2,115:40,75,100,ES1,2013
2,Real Madrid,38,26,7,5,103:42,61,85,ES1,2013
3,Atlético de Madrid,38,23,7,8,65:31,34,76,ES1,2013
4,Real Sociedad,38,18,12,8,70:49,21,66,ES1,2013
5,Valencia CF,38,19,8,11,67:54,13,65,ES1,2013
6,Málaga CF,38,16,9,13,53:50,3,57,ES1,2013
7,Real Betis Balompié,38,16,8,14,57:56,1,56,ES1,2013
8,Rayo Vallecano,38,16,5,17,50:66,-16,53,ES1,2013
9,Sevilla FC,38,14,8,16,58:54,4,50,ES1,2013
10,Getafe CF,38,13,8,17,43:57,-14,47,ES1,2013
11,Levante UD,38,12,10,16,40:57,-17,46,ES1,2013
12,Athletic Bilbao,38,12,9,17,44:65,-21,45,ES1,2013
13,RCD Espanyol Barcelona,38,11,11,16,43:52,-9,44,ES1,2013
14,Real Valladolid CF,38,11,10,17,49:58,-9,43,ES1,2013
15,Granada CF,38,11,9,18,37:54,-17,42,ES1,2013
16,CA Osasuna,38,10,9,19,33:50,-17,39,ES1,2013
17,Celta de Vigo,38,10,7,21,37:52,-15,37,ES1,2013
18,RCD Mallorca,38,9,9,20,43:72,-29,36,ES1,2013
19,Deportivo de La Coruña,38,8,11,19,47:70,-23,35,ES1,2013
20,Real Zaragoza,38,9,7,22,37:62,-25,34,ES1,2013
