Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,CD Tondela,46,21,18,7,67:51,16,81,PO2,2015
2,CF União Madeira (-2021),46,22,14,10,69:39,30,80,PO2,2015
3,GD Chaves,46,20,20,6,68:45,23,80,PO2,2015
4,SC Covilhã,46,23,11,12,78:46,32,80,PO2,2015
5,Sporting CP B,46,22,12,12,66:57,9,78,PO2,2015
6,SL Benfica B,46,22,11,13,81:60,21,77,PO2,2015
7,CD Feirense,46,21,12,13,61:51,10,75,PO2,2015
8,SC Freamunde,46,18,17,11,48:32,16,71,PO2,2015
9,Vitória Guimarães SC B,46,19,8,19,71:57,14,65,PO2,2015
10,SC Beira-Mar,46,16,15,15,52:48,4,63,PO2,2015
11,Académico Viseu FC,46,17,11,18,55:56,-1,62,PO2,2015
12,SC Farense,46,16,14,16,51:54,-3,62,PO2,2015
13,FC Porto B,46,17,10,19,66:64,2,61,PO2,2015
14,Portimonense SC,46,15,15,16,56:62,-6,60,PO2,2015
15,Clube Oriental Lissabon,46,15,13,18,47:59,-12,58,PO2,2015
16,SC Olhanense,46,13,16,17,51:56,-5,55,PO2,2015
17,UD Oliveirense,46,14,13,19,50:67,-17,55,PO2,2015
18,Desportivo Aves (- 2020),46,12,17,17,52:58,-6,53,PO2,2015
19,CD Santa Clara,46,10,21,15,33:42,-9,51,PO2,2015
20,Leixões SC,46,13,11,22,53:67,-14,50,PO2,2015
21,SC Braga B,46,12,15,19,48:62,-14,49,PO2,2015
22,Atlético CP,46,11,14,21,56:70,-14,47,PO2,2015
23,CS Marítimo B,46,10,11,25,37:67,-30,41,PO2,2015
24,CD Trofense,46,9,9,28,35:81,-46,36,PO2,2015
