Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Olympique Lyon,38,24,7,7,74:37,37,79,FR1,2008
2,FC Girondins Bordeaux,38,22,9,7,65:38,27,75,FR1,2008
3,Olympique Marseille,38,17,11,10,58:45,13,62,FR1,2008
4,AS Nancy-Lorraine,38,15,15,8,44:30,14,60,FR1,2008
5,AS Saint-Étienne,38,16,10,12,47:34,13,58,FR1,2008
6,Stade Rennais FC,38,16,10,12,47:44,3,58,FR1,2008
7,LOSC Lille,38,13,18,7,45:32,13,57,FR1,2008
8,OGC Nice,38,13,16,9,35:30,5,55,FR1,2008
9,Le Mans Union Club 72,38,14,11,13,46:49,-3,53,FR1,2008
10,FC Lorient,38,12,16,10,32:35,-3,52,FR1,2008
11,SM Caen,38,13,12,13,48:53,-5,51,FR1,2008
12,AS Monaco,38,13,8,17,40:48,-8,47,FR1,2008
13,Valenciennes FC,38,12,9,17,42:40,2,45,FR1,2008
14,FC Sochaux-Montbéliard,38,10,14,14,34:43,-9,44,FR1,2008
15,AJ Auxerre,38,12,8,18,33:52,-19,44,FR1,2008
16,Paris Saint-Germain,38,10,13,15,37:45,-8,43,FR1,2008
17,FC Toulouse,38,9,15,14,36:42,-6,42,FR1,2008
18,RC Lens,38,9,13,16,43:52,-9,40,FR1,2008
19,RC Strasbourg Alsace,38,9,8,21,34:55,-21,35,FR1,2008
20,FC Metz,38,5,9,24,28:64,-36,24,FR1,2008
