Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,29,4,1,98:18,80,91,L1,2013
2,Borussia Dortmund,34,19,9,6,81:42,39,66,L1,2013
3,Bayer 04 Leverkusen,34,19,8,7,65:39,26,65,L1,2013
4,FC Schalke 04,34,16,7,11,58:50,8,55,L1,2013
5,SC Freiburg,34,14,9,11,45:40,5,51,L1,2013
6,Eintracht Frankfurt,34,14,9,11,49:46,3,51,L1,2013
7,Hamburger SV,34,14,6,14,42:53,-11,48,L1,2013
8,Borussia Mönchengladbach,34,12,11,11,45:49,-4,47,L1,2013
9,Hannover 96,34,13,6,15,60:62,-2,45,L1,2013
10,1.FC Nuremberg,34,11,11,12,39:47,-8,44,L1,2013
11,VfL Wolfsburg,34,10,13,11,47:52,-5,43,L1,2013
12,VfB Stuttgart,34,12,7,15,37:55,-18,43,L1,2013
13,1.FSV Mainz 05,34,10,12,12,42:44,-2,42,L1,2013
14,SV Werder Bremen,34,8,10,16,50:66,-16,34,L1,2013
15,FC Augsburg,34,8,9,17,33:51,-18,33,L1,2013
16,TSG 1899 Hoffenheim,34,8,7,19,42:67,-25,31,L1,2013
17,Fortuna Düsseldorf,34,7,9,18,39:57,-18,30,L1,2013
18,SpVgg Greuther Fürth,34,4,9,21,26:60,-34,21,L1,2013
