Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Moreirense FC,42,21,16,5,65:25,40,79,PO2,2014
2,FC Porto B,42,23,8,11,59:42,17,77,PO2,2014
3,FC Penafiel,42,18,19,5,47:24,23,73,PO2,2014
4,Desportivo Aves (- 2020),42,20,11,11,46:35,11,71,PO2,2014
5,SL Benfica B,42,20,10,12,77:56,21,70,PO2,2014
6,Sporting CP B,42,20,10,12,61:50,11,70,PO2,2014
7,Portimonense SC,42,19,10,13,58:48,10,67,PO2,2014
8,GD Chaves,42,19,10,13,58:56,2,67,PO2,2014
9,CD Tondela,42,16,11,15,41:38,3,59,PO2,2014
10,SC Farense,42,15,12,15,45:44,1,57,PO2,2014
11,Académico Viseu FC,42,16,6,20,43:43,0,54,PO2,2014
12,SC Beira-Mar,42,14,12,16,45:48,-3,54,PO2,2014
13,CF União Madeira (-2021),42,14,10,18,50:46,4,52,PO2,2014
14,CD Feirense,42,10,20,12,41:46,-5,50,PO2,2014
15,CD Santa Clara,42,13,9,20,38:46,-8,48,PO2,2014
16,SC Covilhã,42,13,9,20,34:50,-16,48,PO2,2014
17,Leixões SC,42,13,8,21,42:57,-15,47,PO2,2014
18,UD Oliveirense,42,13,8,21,56:76,-20,47,PO2,2014
19,CD Trofense,42,11,14,17,36:61,-25,47,PO2,2014
20,SC Braga B,42,12,8,22,47:60,-13,44,PO2,2014
21,CS Marítimo B,42,11,10,21,39:57,-18,43,PO2,2014
22,Atlético CP,42,9,13,20,34:54,-20,40,PO2,2014
