Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Olympique Marseille,38,23,9,6,69:36,33,78,FR1,2010
2,Olympique Lyon,38,20,12,6,64:38,26,72,FR1,2010
3,AJ Auxerre,38,20,11,7,42:29,13,71,FR1,2010
4,LOSC Lille,38,21,7,10,72:40,32,70,FR1,2010
5,Montpellier HSC,38,20,9,9,50:40,10,69,FR1,2010
6,FC Girondins Bordeaux,38,19,7,12,58:40,18,64,FR1,2010
7,FC Lorient,38,16,10,12,54:42,12,58,FR1,2010
8,AS Monaco,38,15,10,13,39:45,-6,55,FR1,2010
9,Stade Rennais FC,38,14,11,13,52:41,11,53,FR1,2010
10,Valenciennes FC,38,14,10,14,50:50,0,52,FR1,2010
11,RC Lens,38,12,12,14,40:44,-4,48,FR1,2010
12,AS Nancy-Lorraine,38,13,9,16,46:53,-7,48,FR1,2010
13,Paris Saint-Germain,38,12,11,15,50:46,4,47,FR1,2010
14,FC Toulouse,38,12,11,15,36:36,0,47,FR1,2010
15,OGC Nice,38,11,11,16,41:57,-16,44,FR1,2010
16,FC Sochaux-Montbéliard,38,11,8,19,28:52,-24,41,FR1,2010
17,AS Saint-Étienne,38,10,10,18,27:45,-18,40,FR1,2010
18,Le Mans Union Club 72,38,8,8,22,36:59,-23,32,FR1,2010
19,US Boulogne,38,7,10,21,31:62,-31,31,FR1,2010
20,Grenoble Foot 38,38,5,8,25,31:61,-30,23,FR1,2010
