Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto,34,29,4,1,86:22,64,91,PO1,2022
2,Sporting CP,34,27,4,3,73:23,50,85,PO1,2022
3,SL Benfica,34,23,5,6,78:30,48,74,PO1,2022
4,SC Braga,34,19,8,7,52:31,21,65,PO1,2022
5,Gil Vicente FC,34,13,12,9,47:42,5,51,PO1,2022
6,Vitória Guimarães SC,34,13,9,12,50:41,9,48,PO1,2022
7,CD Santa Clara,34,9,13,12,38:54,-16,40,PO1,2022
8,FC Famalicão,34,9,12,13,45:51,-6,39,PO1,2022
9,GD Estoril Praia,34,9,12,13,36:43,-7,39,PO1,2022
10,CS Marítimo,34,9,11,14,39:44,-5,38,PO1,2022
11,FC Paços de Ferreira,34,9,11,14,29:44,-15,38,PO1,2022
12,Boavista FC,34,7,17,10,39:52,-13,38,PO1,2022
13,Portimonense SC,34,10,8,16,31:45,-14,38,PO1,2022
14,FC Vizela,34,7,12,15,37:58,-21,33,PO1,2022
15,FC Arouca,34,7,10,17,30:54,-24,31,PO1,2022
16,Moreirense FC,34,7,8,19,33:51,-18,29,PO1,2022
17,CD Tondela,34,7,7,20,41:67,-26,28,PO1,2022
18,B SAD,34,5,11,18,23:55,-32,26,PO1,2022
