Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,VfB Stuttgart,34,21,7,6,61:37,24,70,L1,2007
2,FC Schalke 04,34,21,5,8,53:32,21,68,L1,2007
3,SV Werder Bremen,34,20,6,8,76:40,36,66,L1,2007
4,Bayern Munich,34,18,6,10,55:40,15,60,L1,2007
5,Bayer 04 Leverkusen,34,15,6,13,54:49,5,51,L1,2007
6,1.FC Nuremberg,34,11,15,8,43:32,11,48,L1,2007
7,Hamburger SV,34,10,15,9,43:37,6,45,L1,2007
8,VfL Bochum,34,13,6,15,49:50,-1,45,L1,2007
9,Borussia Dortmund,34,12,8,14,41:43,-2,44,L1,2007
10,Hertha BSC,34,12,8,14,50:55,-5,44,L1,2007
11,Hannover 96,34,12,8,14,41:50,-9,44,L1,2007
12,Arminia Bielefeld,34,11,9,14,47:49,-2,42,L1,2007
13,FC Energie Cottbus,34,11,8,15,38:49,-11,41,L1,2007
14,Eintracht Frankfurt,34,9,13,12,46:58,-12,40,L1,2007
15,VfL Wolfsburg,34,8,13,13,37:45,-8,37,L1,2007
16,1.FSV Mainz 05,34,8,10,16,34:57,-23,34,L1,2007
17,Alemannia Aachen,34,9,7,18,46:70,-24,34,L1,2007
18,Borussia Mönchengladbach,34,6,8,20,23:44,-21,26,L1,2007
