Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Norwich City,46,29,10,7,75:36,39,97,GB2,2021
2,Watford FC,46,27,10,9,63:30,33,91,GB2,2021
3,Brentford FC,46,24,15,7,79:42,37,87,GB2,2021
4,Swansea City,46,23,11,12,56:39,17,80,GB2,2021
5,Barnsley FC,46,23,9,14,58:50,8,78,GB2,2021
6,AFC Bournemouth,46,22,11,13,73:46,27,77,GB2,2021
7,Reading FC,46,19,13,14,62:54,8,70,GB2,2021
8,Cardiff City,46,18,14,14,66:49,17,68,GB2,2021
9,Queens Park Rangers,46,19,11,16,57:55,2,68,GB2,2021
10,Middlesbrough FC,46,18,10,18,55:53,2,64,GB2,2021
11,Millwall FC,46,15,17,14,47:52,-5,62,GB2,2021
12,Luton Town,46,17,11,18,41:52,-11,62,GB2,2021
13,Preston North End,46,18,7,21,49:56,-7,61,GB2,2021
14,Stoke City,46,15,15,16,50:52,-2,60,GB2,2021
15,Blackburn Rovers,46,15,12,19,65:54,11,57,GB2,2021
16,Coventry City,46,14,13,19,49:61,-12,55,GB2,2021
17,Nottingham Forest,46,12,16,18,37:45,-8,52,GB2,2021
18,Birmingham City,46,13,13,20,37:61,-24,52,GB2,2021
19,Bristol City,46,15,6,25,46:68,-22,51,GB2,2021
20,Huddersfield Town,46,12,13,21,50:71,-21,49,GB2,2021
21,Derby County,46,11,11,24,36:58,-22,44,GB2,2021
22,Wycombe Wanderers,46,11,10,25,39:69,-30,43,GB2,2021
23,Rotherham United,46,11,9,26,44:60,-16,42,GB2,2021
24,Sheffield Wednesday,46,12,11,23,40:61,-21,41,GB2,2021
