Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Emmen,38,26,5,7,64:24,40,83,NL2,2022
2,FC Volendam,38,21,12,5,81:53,28,75,NL2,2022
3,FC Eindhoven,38,21,8,9,69:43,26,71,NL2,2022
4,ADO Den Haag,38,22,7,9,76:53,23,67,NL2,2022
5,Roda JC Kerkrade,38,18,12,8,77:50,27,66,NL2,2022
6,Excelsior Rotterdam,38,19,9,10,82:57,25,66,NL2,2022
7,Ajax Amsterdam U21,38,18,9,11,82:63,19,63,NL2,2022
8,NAC Breda,38,16,11,11,60:45,15,59,NL2,2022
9,De Graafschap Doetinchem,38,15,11,12,52:43,9,56,NL2,2022
10,VVV-Venlo,38,14,6,18,50:64,-14,48,NL2,2022
11,FC Den Bosch,38,14,5,19,42:61,-19,47,NL2,2022
12,PSV Eindhoven U21,38,11,11,16,61:63,-2,44,NL2,2022
13,AZ Alkmaar U21,38,12,6,20,39:50,-11,42,NL2,2022
14,Almere City FC,38,11,8,19,57:69,-12,41,NL2,2022
15,TOP Oss,38,11,8,19,48:62,-14,41,NL2,2022
16,MVV Maastricht,38,12,4,22,43:75,-32,40,NL2,2022
17,FC Dordrecht,38,10,9,19,53:77,-24,39,NL2,2022
18,FC Utrecht U21,38,11,5,22,43:67,-24,38,NL2,2022
19,SC Telstar,38,8,11,19,47:74,-27,35,NL2,2022
20,Helmond Sport,38,8,7,23,39:72,-33,28,NL2,2022
