Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Paris Saint-Germain,38,26,8,4,90:36,54,86,FR1,2022
2,Olympique Marseille,38,21,8,9,63:38,25,71,FR1,2022
3,AS Monaco,38,20,9,9,65:40,25,69,FR1,2022
4,Stade Rennais FC,38,20,6,12,82:40,42,66,FR1,2022
5,OGC Nice,38,20,7,11,52:36,16,66,FR1,2022
6,RC Strasbourg Alsace,38,17,12,9,60:43,17,63,FR1,2022
7,RC Lens,38,17,11,10,62:48,14,62,FR1,2022
8,Olympique Lyon,38,17,11,10,66:51,15,61,FR1,2022
9,FC Nantes,38,15,10,13,55:48,7,55,FR1,2022
10,LOSC Lille,38,14,13,11,48:48,0,55,FR1,2022
11,Stade Brestois 29,38,13,9,16,49:57,-8,48,FR1,2022
12,Stade Reims,38,11,13,14,43:44,-1,46,FR1,2022
13,Montpellier HSC,38,12,7,19,49:61,-12,43,FR1,2022
14,Angers SCO,38,10,11,17,44:55,-11,41,FR1,2022
15,ESTAC Troyes,38,9,11,18,37:53,-16,38,FR1,2022
16,FC Lorient,38,8,12,18,35:63,-28,36,FR1,2022
17,Clermont Foot 63,38,9,9,20,38:69,-31,36,FR1,2022
18,AS Saint-Étienne,38,7,11,20,42:77,-35,32,FR1,2022
19,FC Metz,38,6,13,19,35:69,-34,31,FR1,2022
20,FC Girondins Bordeaux,38,6,13,19,52:91,-39,31,FR1,2022
