Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AFC Bournemouth,46,26,12,8,98:45,53,90,GB2,2015
2,Watford FC,46,27,8,11,91:50,41,89,GB2,2015
3,Norwich City,46,25,11,10,88:48,40,86,GB2,2015
4,Middlesbrough FC,46,25,10,11,68:37,31,85,GB2,2015
5,Brentford FC,46,23,9,14,78:59,19,78,GB2,2015
6,Ipswich Town,46,22,12,12,72:54,18,78,GB2,2015
7,Wolverhampton Wanderers,46,22,12,12,70:56,14,78,GB2,2015
8,Derby County,46,21,14,11,85:56,29,77,GB2,2015
9,Blackburn Rovers,46,17,16,13,66:59,7,67,GB2,2015
10,Birmingham City,46,16,15,15,54:64,-10,63,GB2,2015
11,Cardiff City,46,16,14,16,57:61,-4,62,GB2,2015
12,Charlton Athletic,46,14,18,14,54:60,-6,60,GB2,2015
13,Sheffield Wednesday,46,14,18,14,43:49,-6,60,GB2,2015
14,Nottingham Forest,46,15,14,17,71:69,2,59,GB2,2015
15,Leeds United,46,15,11,20,50:61,-11,56,GB2,2015
16,Huddersfield Town,46,13,16,17,58:75,-17,55,GB2,2015
17,Fulham FC,46,14,10,22,62:83,-21,52,GB2,2015
18,Bolton Wanderers,46,13,12,21,54:67,-13,51,GB2,2015
19,Reading FC,46,13,11,22,48:69,-21,50,GB2,2015
20,Brighton & Hove Albion,46,10,17,19,44:54,-10,47,GB2,2015
21,Rotherham United,46,11,16,19,46:67,-21,46,GB2,2015
22,Millwall FC,46,9,14,23,42:76,-34,41,GB2,2015
23,Wigan Athletic,46,9,12,25,39:64,-25,39,GB2,2015
24,Blackpool FC,46,4,14,28,36:91,-55,26,GB2,2015
