Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Metz,38,22,10,6,55:28,27,76,FR2,2014
2,RC Lens,38,17,14,7,58:40,18,65,FR2,2014
3,SM Caen,38,18,10,10,65:44,21,64,FR2,2014
4,AS Nancy-Lorraine,38,16,13,9,47:37,10,61,FR2,2014
5,Chamois Niortais FC,38,15,13,10,51:47,4,58,FR2,2014
6,Dijon FCO,38,14,15,9,53:42,11,57,FR2,2014
7,Stade Brestois 29,38,15,11,12,38:32,6,56,FR2,2014
8,Tours FC,38,15,10,13,63:56,7,55,FR2,2014
9,Angers SCO,38,14,13,11,46:45,1,55,FR2,2014
10,ESTAC Troyes,38,15,7,16,56:44,12,52,FR2,2014
11,US Créteil-Lusitanos,38,12,14,12,57:58,-1,50,FR2,2014
12,AC Le Havre,38,11,15,12,43:43,0,48,FR2,2014
13,Athlétic Club Arlésien,38,10,16,12,36:38,-2,46,FR2,2014
14,Clermont Foot 63,38,10,15,13,31:38,-7,45,FR2,2014
15,Nîmes Olympique,38,10,14,14,49:54,-5,44,FR2,2014
16,AJ Auxerre,38,10,13,15,35:45,-10,43,FR2,2014
17,Stade Lavallois,38,10,12,16,44:52,-8,42,FR2,2014
18,LB Châteauroux,38,10,10,18,43:59,-16,40,FR2,2014
19,FC Istres Ouest Provence ,38,9,9,20,48:74,-26,36,FR2,2014
20,CA Bastia,38,4,12,22,21:63,-42,24,FR2,2014
