Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AS Bari,42,22,14,6,65:35,30,80,IT2,2009
2,Parma FC,42,19,19,4,65:34,31,76,IT2,2009
3,AS Livorno,42,16,20,6,64:40,24,68,IT2,2009
4,Brescia Calcio,42,18,13,11,54:40,14,67,IT2,2009
5,Empoli FC ,42,18,13,11,53:44,9,67,IT2,2009
6,US Grosseto FC,42,18,10,14,64:66,-2,64,IT2,2009
7,US Sassuolo,42,15,15,12,57:50,7,60,IT2,2009
8,US Triestina,42,16,11,15,52:47,5,59,IT2,2009
9,UC AlbinoLeffe,42,15,13,14,49:49,0,58,IT2,2009
10,Piacenza FC,42,14,13,15,48:48,0,55,IT2,2009
11,Frosinone Calcio,42,13,14,15,48:53,-5,53,IT2,2009
12,Vicenza Calcio,42,13,13,16,44:41,3,52,IT2,2009
13,AC Mantova 1911,42,12,16,14,41:46,-5,52,IT2,2009
14,Salernitana Calcio 1919,42,14,9,19,46:56,-10,51,IT2,2009
15,Modena FC,42,13,12,17,54:63,-9,51,IT2,2009
16,Ascoli Calcio 1898,42,14,10,18,37:48,-11,51,IT2,2009
17,AS Cittadella,42,11,17,14,42:43,-1,50,IT2,2009
18,Rimini FC,42,13,11,18,43:56,-13,50,IT2,2009
19,AC Ancona,42,14,7,21,54:66,-12,49,IT2,2009
20,AC Pisa 1909,42,12,12,18,45:55,-10,48,IT2,2009
21,US Avellino,42,9,15,18,41:61,-20,40,IT2,2009
22,Treviso FBC 1993,42,7,15,20,37:62,-25,35,IT2,2009
