Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Juventus FC,38,29,4,5,77:27,50,91,IT1,2017
2,AS Roma,38,28,3,7,90:38,52,87,IT1,2017
3,SSC Napoli,38,26,8,4,94:39,55,86,IT1,2017
4,Atalanta BC,38,21,9,8,62:41,21,72,IT1,2017
5,SS Lazio,38,21,7,10,74:51,23,70,IT1,2017
6,AC Milan,38,18,9,11,57:45,12,63,IT1,2017
7,Inter Milan,38,19,5,14,72:49,23,62,IT1,2017
8,ACF Fiorentina,38,16,12,10,63:57,6,60,IT1,2017
9,Torino FC,38,13,14,11,71:66,5,53,IT1,2017
10,UC Sampdoria,38,12,12,14,49:55,-6,48,IT1,2017
11,Cagliari Calcio,38,14,5,19,55:76,-21,47,IT1,2017
12,US Sassuolo,38,13,7,18,58:63,-5,46,IT1,2017
13,Udinese Calcio,38,12,9,17,47:56,-9,45,IT1,2017
14,Chievo Verona,38,12,7,19,43:61,-18,43,IT1,2017
15,Bologna FC 1909,38,11,8,19,40:58,-18,41,IT1,2017
16,Genoa CFC,38,9,9,20,38:64,-26,36,IT1,2017
17,FC Crotone,38,9,7,22,34:58,-24,34,IT1,2017
18,Empoli FC ,38,8,8,22,29:61,-32,32,IT1,2017
19,US Palermo,38,6,8,24,33:77,-44,26,IT1,2017
20,Delfino Pescara 1936,38,3,9,26,37:81,-44,18,IT1,2017
