Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam,25,18,2,5,68:23,45,56,NL1,2020
2,AZ Alkmaar,25,18,2,5,54:17,37,56,NL1,2020
3,Feyenoord Rotterdam,25,14,8,3,50:35,15,50,NL1,2020
4,PSV Eindhoven,26,14,7,5,54:28,26,49,NL1,2020
5,Willem II Tilburg,26,13,5,8,37:34,3,44,NL1,2020
6,FC Utrecht,25,12,5,8,50:34,16,41,NL1,2020
7,Vitesse Arnhem,26,12,5,9,45:35,10,41,NL1,2020
8,Heracles Almelo,26,10,6,10,40:34,6,36,NL1,2020
9,FC Groningen,26,10,5,11,27:26,1,35,NL1,2020
10,SC Heerenveen,26,8,9,9,41:41,0,33,NL1,2020
11,Sparta Rotterdam,26,9,6,11,41:45,-4,33,NL1,2020
12,FC Emmen,26,9,5,12,32:45,-13,32,NL1,2020
13,VVV-Venlo,26,8,4,14,24:51,-27,28,NL1,2020
14,Twente Enschede FC,26,7,6,13,34:46,-12,27,NL1,2020
15,PEC Zwolle,26,7,5,14,37:55,-18,26,NL1,2020
16,Fortuna Sittard,26,6,8,12,29:52,-23,26,NL1,2020
17,ADO Den Haag,26,4,7,15,25:54,-29,19,NL1,2020
18,RKC Waalwijk,26,4,3,19,27:60,-33,15,NL1,2020
