Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Karlsruher SC,34,21,7,6,69:41,28,70,L2,2007
2,FC Hansa Rostock,34,16,14,4,49:30,19,62,L2,2007
3,MSV Duisburg,34,16,12,6,66:40,26,60,L2,2007
4,SC Freiburg,34,17,9,8,55:39,16,60,L2,2007
5,SpVgg Greuther Fürth,34,16,6,12,53:40,13,54,L2,2007
6,1.FC Kaiserslautern,34,13,14,7,48:34,14,53,L2,2007
7,FC Augsburg,34,14,10,10,43:32,11,52,L2,2007
8,TSV 1860 Munich,34,14,6,14,47:49,-2,48,L2,2007
9,1. FC Köln,34,12,10,12,49:50,-1,46,L2,2007
10,FC Erzgebirge Aue,34,13,6,15,46:48,-2,45,L2,2007
11,SC Paderborn 07,34,11,9,14,32:41,-9,42,L2,2007
12,TuS Koblenz,34,11,8,15,36:45,-9,41,L2,2007
13,FC Carl Zeiss Jena,34,9,11,14,40:56,-16,38,L2,2007
14,Kickers Offenbach,34,9,9,16,42:59,-17,36,L2,2007
15,Rot-Weiss Essen,34,8,11,15,34:40,-6,35,L2,2007
16,SpVgg Unterhaching,34,9,8,17,33:49,-16,35,L2,2007
17,SV Wacker Burghausen,34,7,11,16,42:63,-21,32,L2,2007
18,Eintracht Braunschweig,34,4,11,19,20:48,-28,23,L2,2007
