Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Cagliari Calcio,42,25,8,9,78:41,37,83,IT2,2016
2,FC Crotone,42,23,13,6,61:36,25,82,IT2,2016
3,Trapani Calcio,42,20,13,9,64:49,15,73,IT2,2016
4,Delfino Pescara 1936,42,21,9,12,69:52,17,72,IT2,2016
5,FC Bari 1908,42,19,11,12,58:48,10,68,IT2,2016
6,AC Cesena,42,19,11,12,57:37,20,68,IT2,2016
7,Spezia Calcio,42,17,15,10,47:45,2,66,IT2,2016
8,Novara Calcio 1908,42,19,10,13,57:35,22,65,IT2,2016
9,Virtus Entella,42,17,13,12,51:40,11,64,IT2,2016
10,AC Perugia Calcio,42,14,13,15,40:40,0,55,IT2,2016
11,Brescia Calcio,42,14,12,16,55:64,-9,54,IT2,2016
12,Ternana Calcio,42,15,8,19,50:56,-6,53,IT2,2016
13,Vicenza Calcio,42,11,16,15,41:53,-12,49,IT2,2016
14,US Avellino 1912,42,13,10,19,52:66,-14,49,IT2,2016
15,Ascoli Picchio,42,13,8,21,45:64,-19,47,IT2,2016
16,US Latina Calcio,42,10,16,16,44:51,-7,46,IT2,2016
17,FC Pro Vercelli 1892,42,11,13,18,43:53,-10,46,IT2,2016
18,US Salernitana 1919,42,9,18,15,48:62,-14,45,IT2,2016
19,SS Virtus Lanciano,42,12,12,18,43:56,-13,44,IT2,2016
20,AS Livorno,42,10,12,20,45:57,-12,42,IT2,2016
21,Modena FC,42,11,9,22,37:55,-18,42,IT2,2016
22,Calcio Como,42,5,18,19,39:64,-25,33,IT2,2016
