Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SC Cambuur Leeuwarden,38,29,5,4,109:36,73,92,NL2,2021
2,Go Ahead Eagles,38,23,8,7,62:25,37,77,NL2,2021
3,De Graafschap Doetinchem,38,23,8,7,67:47,20,77,NL2,2021
4,Almere City FC,38,22,9,7,75:48,27,75,NL2,2021
5,NAC Breda,38,22,7,9,75:41,34,73,NL2,2021
6,FC Volendam,38,19,9,10,79:52,27,66,NL2,2021
7,NEC Nijmegen,38,20,6,12,68:45,23,66,NL2,2021
8,Roda JC Kerkrade,38,15,12,11,67:61,6,57,NL2,2021
9,Excelsior Rotterdam,38,14,6,18,65:66,-1,48,NL2,2021
10,TOP Oss,38,13,8,17,40:57,-17,47,NL2,2021
11,MVV Maastricht,38,13,7,18,50:72,-22,46,NL2,2021
12,Helmond Sport,38,11,12,15,51:68,-17,45,NL2,2021
13,SC Telstar,38,10,11,17,57:61,-4,41,NL2,2021
14,PSV Eindhoven U21,38,10,10,18,54:65,-11,40,NL2,2021
15,FC Eindhoven,38,10,10,18,50:62,-12,40,NL2,2021
16,Ajax Amsterdam U21,38,10,10,18,55:71,-16,40,NL2,2021
17,AZ Alkmaar U21,38,11,5,22,56:92,-36,38,NL2,2021
18,FC Utrecht U21,38,11,2,25,53:77,-24,35,NL2,2021
19,FC Den Bosch,38,8,8,22,59:85,-26,32,NL2,2021
20,FC Dordrecht,38,8,3,27,36:97,-61,27,NL2,2021
