Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Metz,38,24,9,5,60:23,37,81,FR2,2019
2,Stade Brestois 29,38,21,11,6,64:35,29,74,FR2,2019
3,ESTAC Troyes,38,21,8,9,51:28,23,71,FR2,2019
4,Paris FC,38,17,14,7,36:22,14,65,FR2,2019
5,RC Lens,38,18,9,11,49:28,21,63,FR2,2019
6,FC Lorient,38,17,12,9,51:41,10,63,FR2,2019
7,AC Le Havre,38,13,15,10,45:40,5,54,FR2,2019
8,US Orléans,38,15,7,16,51:53,-2,52,FR2,2019
9,Grenoble Foot 38,38,13,11,14,43:47,-4,50,FR2,2019
10,Clermont Foot 63,38,11,15,12,44:37,7,48,FR2,2019
11,LB Châteauroux,38,11,15,12,37:42,-5,48,FR2,2019
12,Chamois Niortais FC,38,11,14,13,34:41,-7,47,FR2,2019
13,Valenciennes FC,38,11,10,17,52:61,-9,43,FR2,2019
14,AS Nancy-Lorraine,38,12,6,20,36:50,-14,42,FR2,2019
15,AJ Auxerre,38,10,11,17,34:36,-2,41,FR2,2019
16,FC Sochaux-Montbéliard,38,11,8,19,27:43,-16,41,FR2,2019
17,AC Ajaccio,38,9,13,16,29:45,-16,40,FR2,2019
18,GFC Ajaccio,38,9,12,17,30:54,-24,39,FR2,2019
19,AS Béziers,38,9,11,18,33:50,-17,38,FR2,2019
20,Red Star FC,38,7,9,22,28:58,-30,30,FR2,2019
