Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Inter Milan,38,28,7,3,89:35,54,91,IT1,2021
2,AC Milan,38,24,7,7,74:41,33,79,IT1,2021
3,Atalanta BC,38,23,9,6,90:47,43,78,IT1,2021
4,Juventus FC,38,23,9,6,77:38,39,78,IT1,2021
5,SSC Napoli,38,24,5,9,86:41,45,77,IT1,2021
6,SS Lazio,38,21,5,12,61:55,6,68,IT1,2021
7,AS Roma,38,18,8,12,68:58,10,62,IT1,2021
8,US Sassuolo,38,17,11,10,64:56,8,62,IT1,2021
9,UC Sampdoria,38,15,7,16,52:54,-2,52,IT1,2021
10,Hellas Verona,38,11,12,15,46:48,-2,45,IT1,2021
11,Genoa CFC,38,10,12,16,47:58,-11,42,IT1,2021
12,Bologna FC 1909,38,10,11,17,51:65,-14,41,IT1,2021
13,ACF Fiorentina,38,9,13,16,47:59,-12,40,IT1,2021
14,Udinese Calcio,38,10,10,18,42:58,-16,40,IT1,2021
15,Spezia Calcio,38,9,12,17,52:72,-20,39,IT1,2021
16,Cagliari Calcio,38,9,10,19,43:59,-16,37,IT1,2021
17,Torino FC,38,7,16,15,50:69,-19,37,IT1,2021
18,Benevento Calcio,38,7,12,19,40:75,-35,33,IT1,2021
19,FC Crotone,38,6,5,27,45:92,-47,23,IT1,2021
20,Parma Calcio 1913,38,3,11,24,39:83,-44,20,IT1,2021
