Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SC Beira-Mar,30,16,6,8,44:30,14,54,PO2,2010
2,Portimonense SC,30,16,6,8,43:34,9,54,PO2,2010
3,CD Feirense,30,14,10,6,37:24,13,52,PO2,2010
4,CD Santa Clara,30,13,12,5,45:29,16,51,PO2,2010
5,UD Oliveirense,30,14,7,9,38:27,11,49,PO2,2010
6,CD Trofense,30,13,6,11,44:45,-1,45,PO2,2010
7,FC Penafiel,30,10,11,9,35:34,1,41,PO2,2010
8,Gil Vicente FC,30,9,11,10,36:32,4,38,PO2,2010
9,Desportivo Aves (- 2020),30,9,11,10,33:33,0,38,PO2,2010
10,CD Fátima,30,8,14,8,31:31,0,38,PO2,2010
11,GD Estoril Praia,30,7,14,9,26:29,-3,35,PO2,2010
12,SC Freamunde,30,9,8,13,43:50,-7,35,PO2,2010
13,Varzim SC,30,6,13,11,25:38,-13,31,PO2,2010
14,SC Covilhã,30,7,9,14,35:49,-14,30,PO2,2010
15,GD Chaves,30,6,10,14,28:37,-9,28,PO2,2010
16,AD Carregado,30,6,6,18,26:47,-21,24,PO2,2010
