Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,PSV Eindhoven,34,21,9,4,65:24,41,72,NL1,2008
2,Ajax Amsterdam,34,20,9,5,94:45,49,69,NL1,2008
3,NAC Breda,34,19,6,9,48:40,8,63,NL1,2008
4,Twente Enschede FC,34,17,11,6,52:32,20,62,NL1,2008
5,SC Heerenveen,34,18,6,10,88:48,40,60,NL1,2008
6,Feyenoord Rotterdam,34,18,6,10,64:41,23,60,NL1,2008
7,FC Groningen,34,15,6,13,53:54,-1,51,NL1,2008
8,NEC Nijmegen,34,14,7,13,49:50,-1,49,NL1,2008
9,Roda JC Kerkrade,34,12,11,11,55:55,0,47,NL1,2008
10,FC Utrecht,34,13,7,14,59:55,4,46,NL1,2008
11,AZ Alkmaar,34,11,10,13,48:53,-5,43,NL1,2008
12,Vitesse Arnhem,34,12,7,15,46:55,-9,43,NL1,2008
13,Sparta Rotterdam,34,9,7,18,52:76,-24,34,NL1,2008
14,Heracles Almelo,34,8,8,18,34:64,-30,32,NL1,2008
15,Willem II Tilburg,34,8,7,19,40:49,-9,31,NL1,2008
16,De Graafschap Doetinchem,34,7,9,18,33:64,-31,30,NL1,2008
17,VVV-Venlo,34,7,8,19,44:76,-32,29,NL1,2008
18,Excelsior Rotterdam,34,7,6,21,32:75,-43,27,NL1,2008
