Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AC Milan,38,24,10,4,65:24,41,82,IT1,2011
2,FC Internazionale,38,23,7,8,69:42,27,76,IT1,2011
3,SSC Napoli,38,21,7,10,59:39,20,70,IT1,2011
4,Udinese Calcio,38,20,6,12,65:43,22,66,IT1,2011
5,SS Lazio,38,20,6,12,55:39,16,66,IT1,2011
6,AS Roma,38,18,9,11,59:52,7,63,IT1,2011
7,Juventus FC,38,15,13,10,57:47,10,58,IT1,2011
8,US Palermo,38,17,5,16,58:63,-5,56,IT1,2011
9,ACF Fiorentina,38,12,15,11,49:44,5,51,IT1,2011
10,Genoa CFC,38,14,9,15,45:47,-2,51,IT1,2011
11,Chievo Verona,38,11,13,14,38:40,-2,46,IT1,2011
12,Parma FC,38,11,13,14,39:47,-8,46,IT1,2011
13,Calcio Catania,38,12,10,16,40:52,-12,46,IT1,2011
14,Cagliari Calcio,38,12,9,17,44:51,-7,45,IT1,2011
15,AC Cesena,38,11,10,17,38:50,-12,43,IT1,2011
16,Bologna FC 1909,38,11,12,15,35:52,-17,42,IT1,2011
17,US Lecce,38,11,8,19,46:66,-20,41,IT1,2011
18,UC Sampdoria,38,8,12,18,33:49,-16,36,IT1,2011
19,Brescia Calcio,38,7,11,20,34:52,-18,32,IT1,2011
20,AS Bari,38,5,9,24,27:56,-29,24,IT1,2011
