Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Zwolle,34,22,6,6,68:34,34,72,NL2,2012
2,Sparta Rotterdam,34,19,8,7,59:32,27,65,NL2,2012
3,FC Eindhoven,34,18,9,7,52:33,19,63,NL2,2012
4,Helmond Sport,34,18,8,8,62:50,12,62,NL2,2012
5,Willem II Tilburg,34,17,7,10,67:41,26,58,NL2,2012
6,FC Den Bosch,34,16,9,9,57:32,25,57,NL2,2012
7,SC Cambuur Leeuwarden,34,16,8,10,68:44,24,56,NL2,2012
8,MVV Maastricht,34,14,9,11,59:55,4,51,NL2,2012
9,Go Ahead Eagles,34,14,8,12,65:56,9,50,NL2,2012
10,FC Dordrecht,34,13,11,10,56:62,-6,50,NL2,2012
11,Fortuna Sittard,34,13,9,12,62:51,11,48,NL2,2012
12,FC Volendam,34,14,6,14,57:55,2,48,NL2,2012
13,Almere City FC,34,11,7,16,52:62,-10,40,NL2,2012
14,FC Oss,34,10,5,19,56:76,-20,35,NL2,2012
15,SC Telstar,34,9,5,20,45:70,-25,32,NL2,2012
16,SC Veendam,34,4,10,20,42:67,-25,22,NL2,2012
17,AGOVV Apeldoorn,34,5,4,25,36:94,-58,19,NL2,2012
18,FC Emmen,34,6,5,23,24:73,-49,17,NL2,2012
