Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto,30,24,3,3,60:13,47,69,PO1,2008
2,Sporting CP,30,16,7,7,46:28,18,55,PO1,2008
3,Vitória Guimarães SC,30,15,8,7,35:31,4,53,PO1,2008
4,SL Benfica,30,13,13,4,45:21,24,52,PO1,2008
5,CS Marítimo,30,14,4,12,39:28,11,46,PO1,2008
6,Vitória Setúbal FC,30,11,12,7,37:33,4,45,PO1,2008
7,CF Os Belenenses,30,12,10,8,37:31,6,43,PO1,2008
8,SC Braga,30,10,11,9,32:34,-2,41,PO1,2008
9,Boavista FC,30,8,12,10,32:41,-9,36,PO1,2008
10,CD Nacional,30,9,8,13,23:28,-5,35,PO1,2008
11,Académica Coimbra,30,6,14,10,31:38,-7,32,PO1,2008
12,Clube Futebol Estrela da Amadora,30,6,13,11,29:41,-12,31,PO1,2008
13,Naval 1º de Maio,30,8,7,15,24:47,-23,31,PO1,2008
14,Leixões SC,30,4,14,12,27:37,-10,26,PO1,2008
15,FC Paços de Ferreira,30,6,7,17,31:49,-18,25,PO1,2008
16,União de Leiria,30,3,7,20,25:53,-28,16,PO1,2008
