Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Real Madrid,38,26,9,3,70:25,45,87,ES1,2020
2,FC Barcelona,38,25,7,6,86:38,48,82,ES1,2020
3,Atlético de Madrid,38,18,16,4,51:27,24,70,ES1,2020
4,Sevilla FC,38,19,13,6,54:34,20,70,ES1,2020
5,Villarreal CF,38,18,6,14,63:49,14,60,ES1,2020
6,Real Sociedad,38,16,8,14,56:48,8,56,ES1,2020
7,Granada CF,38,16,8,14,52:45,7,56,ES1,2020
8,Getafe CF,38,14,12,12,43:37,6,54,ES1,2020
9,Valencia CF,38,14,11,13,46:53,-7,53,ES1,2020
10,CA Osasuna,38,13,13,12,46:54,-8,52,ES1,2020
11,Athletic Bilbao,38,13,12,13,41:38,3,51,ES1,2020
12,Levante UD,38,14,7,17,47:53,-6,49,ES1,2020
13,Real Valladolid CF,38,9,15,14,32:43,-11,42,ES1,2020
14,SD Eibar,38,11,9,18,39:56,-17,42,ES1,2020
15,Real Betis Balompié,38,10,11,17,48:60,-12,41,ES1,2020
16,Deportivo Alavés,38,10,9,19,34:59,-25,39,ES1,2020
17,Celta de Vigo,38,7,16,15,37:49,-12,37,ES1,2020
18,CD Leganés,38,8,12,18,30:51,-21,36,ES1,2020
19,RCD Mallorca,38,9,6,23,40:65,-25,33,ES1,2020
20,RCD Espanyol Barcelona,38,5,10,23,27:58,-31,25,ES1,2020
