Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Real Madrid,38,32,4,2,121:32,89,100,ES1,2012
2,FC Barcelona,38,28,7,3,114:29,85,91,ES1,2012
3,Valencia CF,38,17,10,11,59:44,15,61,ES1,2012
4,Málaga CF,38,17,7,14,54:53,1,58,ES1,2012
5,Atlético de Madrid,38,15,11,12,53:46,7,56,ES1,2012
6,Levante UD,38,16,7,15,54:50,4,55,ES1,2012
7,CA Osasuna,38,13,15,10,44:61,-17,54,ES1,2012
8,RCD Mallorca,38,14,10,14,42:46,-4,52,ES1,2012
9,Sevilla FC,38,13,11,14,48:47,1,50,ES1,2012
10,Athletic Bilbao,38,12,13,13,49:52,-3,49,ES1,2012
11,Getafe CF,38,12,11,15,40:51,-11,47,ES1,2012
12,Real Sociedad,38,12,11,15,46:52,-6,47,ES1,2012
13,Real Betis Balompié,38,13,8,17,47:56,-9,47,ES1,2012
14,RCD Espanyol Barcelona,38,12,10,16,46:56,-10,46,ES1,2012
15,Rayo Vallecano,38,13,4,21,53:73,-20,43,ES1,2012
16,Real Zaragoza,38,12,7,19,36:61,-25,43,ES1,2012
17,Granada CF,38,12,6,20,35:56,-21,42,ES1,2012
18,Villarreal CF,38,9,14,15,39:53,-14,41,ES1,2012
19,Sporting Gijón,38,10,7,21,42:69,-27,37,ES1,2012
20,Racing Santander,38,4,15,19,28:63,-35,27,ES1,2012
