Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,28,9,1,99:29,70,93,ES1,2018
2,Atlético de Madrid,38,23,10,5,58:22,36,79,ES1,2018
3,Real Madrid,38,22,10,6,94:44,50,76,ES1,2018
4,Valencia CF,38,22,7,9,65:38,27,73,ES1,2018
5,Villarreal CF,38,18,7,13,57:50,7,61,ES1,2018
6,Real Betis Balompié,38,18,6,14,60:61,-1,60,ES1,2018
7,Sevilla FC,38,17,7,14,49:58,-9,58,ES1,2018
8,Getafe CF,38,15,10,13,42:33,9,55,ES1,2018
9,SD Eibar,38,14,9,15,44:50,-6,51,ES1,2018
10,Girona FC,38,14,9,15,50:59,-9,51,ES1,2018
11,RCD Espanyol Barcelona,38,12,13,13,36:42,-6,49,ES1,2018
12,Real Sociedad,38,14,7,17,66:59,7,49,ES1,2018
13,Celta de Vigo,38,13,10,15,59:60,-1,49,ES1,2018
14,Deportivo Alavés,38,15,2,21,40:50,-10,47,ES1,2018
15,Levante UD,38,11,13,14,44:58,-14,46,ES1,2018
16,Athletic Bilbao,38,10,13,15,41:49,-8,43,ES1,2018
17,CD Leganés,38,12,7,19,34:51,-17,43,ES1,2018
18,Deportivo de La Coruña,38,6,11,21,38:76,-38,29,ES1,2018
19,UD Las Palmas,38,5,7,26,24:74,-50,22,ES1,2018
20,Málaga CF,38,5,5,28,24:61,-37,20,ES1,2018
