Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Hertha BSC,34,23,5,6,69:28,41,74,L2,2011
2,FC Augsburg,34,19,8,7,58:27,31,65,L2,2011
3,VfL Bochum,34,20,5,9,49:35,14,65,L2,2011
4,SpVgg Greuther Fürth,34,17,10,7,47:27,20,61,L2,2011
5,FC Erzgebirge Aue,34,16,8,10,40:37,3,56,L2,2011
6,FC Energie Cottbus,34,16,7,11,65:52,13,55,L2,2011
7,Fortuna Düsseldorf,34,16,5,13,49:39,10,53,L2,2011
8,MSV Duisburg,34,15,7,12,53:38,15,52,L2,2011
9,TSV 1860 Munich,34,14,10,10,50:36,14,50,L2,2011
10,Alemannia Aachen,34,13,9,12,58:60,-2,48,L2,2011
11,1.FC Union Berlin,34,11,9,14,39:45,-6,42,L2,2011
12,SC Paderborn 07,34,10,9,15,32:47,-15,39,L2,2011
13,FSV Frankfurt,34,11,5,18,42:54,-12,38,L2,2011
14,FC Ingolstadt 04,34,9,10,15,40:46,-6,37,L2,2011
15,Karlsruher SC,34,8,9,17,46:72,-26,33,L2,2011
16,VfL Osnabrück,34,8,7,19,40:62,-22,31,L2,2011
17,Rot-Weiß Oberhausen,34,7,7,20,30:65,-35,28,L2,2011
18,Arminia Bielefeld,34,4,8,22,28:65,-37,17,L2,2011
