Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Empoli FC ,38,19,16,3,68:35,33,73,IT2,2021
2,US Salernitana 1919,38,19,12,7,46:34,12,69,IT2,2021
3,AC Monza,38,17,13,8,51:33,18,64,IT2,2021
4,US Lecce,38,16,14,8,68:47,21,62,IT2,2021
5,Venezia FC,38,15,14,9,53:39,14,59,IT2,2021
6,AS Cittadella,38,15,12,11,48:35,13,57,IT2,2021
7,Brescia Calcio,38,15,11,12,61:53,8,56,IT2,2021
8,Chievo Verona,38,14,14,10,50:37,13,56,IT2,2021
9,SPAL,38,14,14,10,44:42,2,56,IT2,2021
10,Frosinone Calcio,38,12,14,12,38:42,-4,50,IT2,2021
11,Reggina 1914,38,12,14,12,42:45,-3,50,IT2,2021
12,LR Vicenza,38,11,15,12,48:53,-5,48,IT2,2021
13,US Cremonese,38,12,12,14,46:44,2,48,IT2,2021
14,AC Pisa 1909,38,11,15,12,54:59,-5,48,IT2,2021
15,Pordenone Calcio,38,10,15,13,40:39,1,45,IT2,2021
16,Ascoli Calcio,38,11,11,16,37:48,-11,44,IT2,2021
17,Cosenza Calcio,38,6,17,15,29:47,-18,35,IT2,2021
18,AC Reggiana 1919,38,9,7,22,31:57,-26,34,IT2,2021
19,Delfino Pescara 1936,38,7,11,20,29:60,-31,32,IT2,2021
20,Virtus Entella,38,4,11,23,30:64,-34,23,IT2,2021
