Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,RCD Espanyol Barcelona,42,24,10,8,71:28,43,82,ES2,2021
2,RCD Mallorca,42,24,10,8,54:28,26,82,ES2,2021
3,CD Leganés,42,21,10,11,51:32,19,73,ES2,2021
4,UD Almería,42,21,10,11,61:40,21,73,ES2,2021
5,Girona FC,42,20,11,11,47:36,11,71,ES2,2021
6,Rayo Vallecano,42,19,10,13,52:40,12,67,ES2,2021
7,Sporting Gijón,42,17,14,11,37:28,9,65,ES2,2021
8,SD Ponferradina,42,15,12,15,45:50,-5,57,ES2,2021
9,UD Las Palmas,42,14,14,14,46:53,-7,56,ES2,2021
10,CD Mirandés,42,14,12,16,38:41,-3,54,ES2,2021
11,CF Fuenlabrada,42,12,18,12,45:46,-1,54,ES2,2021
12,Málaga CF,42,14,11,17,37:47,-10,53,ES2,2021
13,Real Oviedo,42,11,19,12,45:46,-1,52,ES2,2021
14,CD Tenerife,42,13,13,16,36:36,0,52,ES2,2021
15,Real Zaragoza,42,13,11,18,37:43,-6,50,ES2,2021
16,FC Cartagena,42,12,13,17,44:52,-8,49,ES2,2021
17,AD Alcorcón,42,13,9,20,32:42,-10,48,ES2,2021
18,CD Lugo,42,11,14,17,38:53,-15,47,ES2,2021
19,CE Sabadell FC,42,11,13,18,40:48,-8,46,ES2,2021
20,UD Logroñés,42,11,11,20,28:53,-25,44,ES2,2021
21,CD Castellón,42,11,8,23,35:54,-19,41,ES2,2021
22,Albacete Balompié,42,9,11,22,30:53,-23,38,ES2,2021
