Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,31,6,1,98:24,74,99,ES1,2010
2,Real Madrid,38,31,3,4,102:35,67,96,ES1,2010
3,Valencia CF,38,21,8,9,59:40,19,71,ES1,2010
4,Sevilla FC,38,19,6,13,65:49,16,63,ES1,2010
5,RCD Mallorca,38,18,8,12,59:44,15,62,ES1,2010
6,Getafe CF,38,17,7,14,58:48,10,58,ES1,2010
7,Villarreal CF,38,16,8,14,58:57,1,56,ES1,2010
8,Athletic Bilbao,38,15,9,14,50:53,-3,54,ES1,2010
9,Atlético de Madrid,38,13,8,17,57:61,-4,47,ES1,2010
10,Deportivo de La Coruña,38,13,8,17,35:49,-14,47,ES1,2010
11,RCD Espanyol Barcelona,38,11,11,16,29:46,-17,44,ES1,2010
12,CA Osasuna,38,11,10,17,37:46,-9,43,ES1,2010
13,UD Almería,38,10,12,16,43:55,-12,42,ES1,2010
14,Real Zaragoza,38,10,11,17,46:64,-18,41,ES1,2010
15,Sporting Gijón,38,9,13,16,36:51,-15,40,ES1,2010
16,Racing Santander,38,9,12,17,42:59,-17,39,ES1,2010
17,Málaga CF,38,7,16,15,42:48,-6,37,ES1,2010
18,Real Valladolid CF,38,7,15,16,37:62,-25,36,ES1,2010
19,CD Tenerife,38,9,9,20,40:74,-34,36,ES1,2010
20,Xerez CD,38,8,10,20,38:66,-28,34,ES1,2010
