Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam,34,28,4,2,102:23,79,88,NL1,2021
2,PSV Eindhoven,34,21,9,4,74:35,39,72,NL1,2021
3,AZ Alkmaar,34,21,8,5,75:41,34,71,NL1,2021
4,Vitesse Arnhem,34,18,7,9,52:38,14,61,NL1,2021
5,Feyenoord Rotterdam,34,16,11,7,64:36,28,59,NL1,2021
6,FC Utrecht,34,13,14,7,52:41,11,53,NL1,2021
7,FC Groningen,34,14,8,12,40:37,3,50,NL1,2021
8,Sparta Rotterdam,34,13,8,13,49:48,1,47,NL1,2021
9,Heracles Almelo,34,12,8,14,42:53,-11,44,NL1,2021
10,Twente Enschede FC,34,10,11,13,48:50,-2,41,NL1,2021
11,Fortuna Sittard,34,12,5,17,50:58,-8,41,NL1,2021
12,SC Heerenveen,34,9,12,13,43:49,-6,39,NL1,2021
13,PEC Zwolle,34,9,11,14,44:53,-9,38,NL1,2021
14,Willem II Tilburg,34,8,7,19,40:68,-28,31,NL1,2021
15,RKC Waalwijk,34,7,9,18,33:55,-22,30,NL1,2021
16,FC Emmen,34,7,9,18,40:68,-28,30,NL1,2021
17,VVV-Venlo,34,6,5,23,43:91,-48,23,NL1,2021
18,ADO Den Haag,34,4,10,20,29:76,-47,22,NL1,2021
