Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,US Lecce,38,19,14,5,59:31,28,71,IT2,2022
2,US Cremonese,38,20,9,9,57:39,18,69,IT2,2022
3,Pisa Sporting Club,38,18,13,7,48:35,13,67,IT2,2022
4,AC Monza,38,19,10,9,60:38,22,67,IT2,2022
5,Brescia Calcio,38,17,15,6,55:35,20,66,IT2,2022
6,Ascoli Calcio,38,19,8,11,52:42,10,65,IT2,2022
7,Benevento Calcio,38,18,9,11,62:39,23,63,IT2,2022
8,AC Perugia Calcio,38,14,16,8,40:32,8,58,IT2,2022
9,Frosinone Calcio,38,15,13,10,58:45,13,58,IT2,2022
10,Ternana Calcio,38,15,9,14,58:61,-3,54,IT2,2022
11,AS Cittadella,38,13,13,12,38:36,2,52,IT2,2022
12,Parma Calcio 1913,38,11,16,11,48:43,5,49,IT2,2022
13,Como 1907,38,11,14,13,49:54,-5,47,IT2,2022
14,Reggina 1914,38,13,9,16,31:49,-18,46,IT2,2022
15,SPAL,38,9,15,14,46:54,-8,42,IT2,2022
16,Cosenza Calcio,38,8,11,19,36:59,-23,35,IT2,2022
17,LR Vicenza,38,9,7,22,38:59,-21,34,IT2,2022
18,US Alessandria Calcio 1912,38,8,10,20,37:59,-22,34,IT2,2022
19,FC Crotone,38,4,14,20,41:61,-20,26,IT2,2022
20,Pordenone Calcio,38,3,9,26,29:71,-42,18,IT2,2022
