Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,CA Osasuna,42,26,9,7,59:35,24,87,ES2,2019
2,Granada CF,42,22,13,7,52:28,24,79,ES2,2019
3,Málaga CF,42,21,11,10,51:31,20,74,ES2,2019
4,Albacete Balompié,42,19,14,9,54:38,16,71,ES2,2019
5,RCD Mallorca,42,19,12,11,53:37,16,69,ES2,2019
6,Deportivo de La Coruña,42,17,17,8,50:32,18,68,ES2,2019
7,Cádiz CF,42,16,16,10,53:36,17,64,ES2,2019
8,Real Oviedo,42,17,12,13,48:48,0,63,ES2,2019
9,Sporting Gijón,42,16,13,13,43:38,5,61,ES2,2019
10,UD Almería,42,15,15,12,51:39,12,60,ES2,2019
11,Elche CF,42,13,16,13,49:52,-3,55,ES2,2019
12,UD Las Palmas,42,12,18,12,48:50,-2,54,ES2,2019
13,Extremadura UD,42,14,11,17,43:47,-4,53,ES2,2019
14,AD Alcorcón,42,14,10,18,36:42,-6,52,ES2,2019
15,Real Zaragoza,42,13,12,17,49:51,-2,51,ES2,2019
16,CD Tenerife,42,11,17,14,40:50,-10,50,ES2,2019
17,CD Numancia,42,11,16,15,44:50,-6,49,ES2,2019
18,CD Lugo,42,10,17,15,43:51,-8,47,ES2,2019
19,CF Rayo Majadahonda,42,12,9,21,46:61,-15,45,ES2,2019
20,Gimnàstic de Tarragona,42,9,9,24,30:63,-33,36,ES2,2019
21,Córdoba CF,42,7,13,22,48:79,-31,34,ES2,2019
22,CF Reus Deportiu,42,5,6,31,16:48,-32,21,ES2,2019
