Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Olympique Lyon,38,25,9,4,73:31,42,84,FR1,2006
2,FC Girondins Bordeaux,38,18,15,5,43:25,18,69,FR1,2006
3,LOSC Lille,38,16,14,8,56:31,25,62,FR1,2006
4,RC Lens,38,14,18,6,48:34,14,60,FR1,2006
5,Olympique Marseille,38,16,12,10,44:35,9,60,FR1,2006
6,AJ Auxerre,38,17,8,13,50:39,11,59,FR1,2006
7,Stade Rennais FC,38,18,5,15,48:49,-1,59,FR1,2006
8,OGC Nice,38,16,10,12,36:31,5,58,FR1,2006
9,Paris Saint-Germain,38,13,13,12,44:38,6,52,FR1,2006
10,AS Monaco,38,13,13,12,42:36,6,52,FR1,2006
11,Le Mans Union Club 72,38,13,13,12,33:36,-3,52,FR1,2006
12,AS Nancy-Lorraine,38,12,12,14,35:37,-2,48,FR1,2006
13,AS Saint-Étienne,38,11,14,13,29:39,-10,47,FR1,2006
14,FC Nantes,38,11,12,15,37:41,-4,45,FR1,2006
15,FC Sochaux-Montbéliard,38,11,11,16,34:47,-13,44,FR1,2006
16,FC Toulouse,38,10,11,17,36:47,-11,41,FR1,2006
17,ESTAC Troyes,38,9,12,17,37:47,-10,39,FR1,2006
18,AC Ajaccio,38,8,9,21,27:53,-26,33,FR1,2006
19,RC Strasbourg Alsace,38,5,14,19,33:56,-23,29,FR1,2006
20,FC Metz,38,6,11,21,26:59,-33,29,FR1,2006
