Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Internazionale,38,24,10,4,75:34,41,82,IT1,2010
2,AS Roma,38,24,8,6,68:41,27,80,IT1,2010
3,AC Milan,38,20,10,8,60:39,21,70,IT1,2010
4,UC Sampdoria,38,19,10,9,49:41,8,67,IT1,2010
5,US Palermo,38,18,11,9,59:47,12,65,IT1,2010
6,SSC Napoli,38,15,14,9,50:43,7,59,IT1,2010
7,Juventus FC,38,16,7,15,55:56,-1,55,IT1,2010
8,Parma FC,38,14,10,14,46:51,-5,52,IT1,2010
9,Genoa CFC,38,14,9,15,57:61,-4,51,IT1,2010
10,AS Bari,38,13,11,14,49:49,0,50,IT1,2010
11,ACF Fiorentina,38,13,8,17,48:47,1,47,IT1,2010
12,SS Lazio,38,11,13,14,39:43,-4,46,IT1,2010
13,Calcio Catania,38,10,15,13,44:45,-1,45,IT1,2010
14,Chievo Verona,38,12,8,18,37:42,-5,44,IT1,2010
15,Udinese Calcio,38,11,11,16,54:59,-5,44,IT1,2010
16,Cagliari Calcio,38,11,11,16,56:58,-2,44,IT1,2010
17,Bologna FC 1909,38,10,12,16,42:55,-13,42,IT1,2010
18,Atalanta BC,38,9,8,21,37:53,-16,35,IT1,2010
19,AC Siena,38,7,10,21,40:67,-27,31,IT1,2010
20,AS Livorno,38,7,8,23,27:61,-34,29,IT1,2010
