Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,VfL Bochum,34,19,9,6,55:26,29,66,L2,2006
2,Alemannia Aachen,34,20,5,9,61:36,25,65,L2,2006
3,FC Energie Cottbus,34,16,10,8,49:33,16,58,L2,2006
4,SC Freiburg,34,16,8,10,41:33,8,56,L2,2006
5,SpVgg Greuther Fürth,34,15,9,10,51:42,9,54,L2,2006
6,Karlsruher SC,34,15,8,11,55:45,10,53,L2,2006
7,FC Erzgebirge Aue,34,13,9,12,38:36,2,48,L2,2006
8,SV Wacker Burghausen,34,12,11,11,45:49,-4,47,L2,2006
9,SC Paderborn 07,34,13,7,14,46:40,6,46,L2,2006
10,FC Hansa Rostock,34,13,4,17,44:49,-5,43,L2,2006
11,Kickers Offenbach,34,12,7,15,42:53,-11,43,L2,2006
12,Eintracht Braunschweig,34,13,4,17,37:48,-11,43,L2,2006
13,TSV 1860 Munich,34,11,9,14,41:44,-3,42,L2,2006
14,SpVgg Unterhaching,34,12,6,16,42:48,-6,42,L2,2006
15,SG Dynamo Dresden,34,11,8,15,39:45,-6,41,L2,2006
16,1.FC Saarbrücken,34,11,5,18,37:63,-26,38,L2,2006
17,LR Ahlen,34,9,8,17,36:50,-14,35,L2,2006
18,Sportfreunde Siegen,34,8,7,19,35:54,-19,31,L2,2006
