Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Girondins Bordeaux,38,24,8,6,64:34,30,80,FR1,2009
2,Olympique Marseille,38,22,11,5,67:35,32,77,FR1,2009
3,Olympique Lyon,38,20,11,7,52:29,23,71,FR1,2009
4,FC Toulouse,38,16,16,6,45:27,18,64,FR1,2009
5,LOSC Lille,38,17,13,8,51:39,12,64,FR1,2009
6,Paris Saint-Germain,38,19,7,12,49:38,11,64,FR1,2009
7,Stade Rennais FC,38,15,16,7,42:34,8,61,FR1,2009
8,AJ Auxerre,38,16,7,15,35:35,0,55,FR1,2009
9,OGC Nice,38,13,11,14,40:41,-1,50,FR1,2009
10,FC Lorient,38,10,15,13,47:47,0,45,FR1,2009
11,AS Monaco,38,11,12,15,41:45,-4,45,FR1,2009
12,Valenciennes FC,38,10,14,14,35:42,-7,44,FR1,2009
13,Grenoble Foot 38,38,10,14,14,24:37,-13,44,FR1,2009
14,FC Sochaux-Montbéliard,38,10,12,16,40:48,-8,42,FR1,2009
15,AS Nancy-Lorraine,38,10,12,16,38:47,-9,42,FR1,2009
16,Le Mans Union Club 72,38,10,10,18,43:54,-11,40,FR1,2009
17,AS Saint-Étienne,38,11,7,20,40:56,-16,40,FR1,2009
18,SM Caen,38,8,13,17,42:49,-7,37,FR1,2009
19,FC Nantes,38,9,10,19,33:54,-21,37,FR1,2009
20,AC Le Havre,38,7,5,26,30:67,-37,26,FR1,2009
