Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,De Graafschap Doetinchem,38,25,8,5,88:41,47,83,NL2,2007
2,VVV-Venlo,38,21,8,9,64:44,20,71,NL2,2007
3,RBC Roosendaal,38,20,10,8,82:44,38,70,NL2,2007
4,FC Volendam,38,19,11,8,65:39,26,68,NL2,2007
5,FC Den Bosch,38,20,8,10,65:43,22,68,NL2,2007
6,FC Dordrecht,38,20,7,11,76:49,27,67,NL2,2007
7,Go Ahead Eagles,38,16,9,13,56:49,7,57,NL2,2007
8,SC Veendam,38,14,13,11,56:50,6,55,NL2,2007
9,FC Zwolle,38,14,11,13,66:51,15,53,NL2,2007
10,Stormvogels Telstar,38,14,6,18,60:61,-1,48,NL2,2007
11,FC Emmen,38,13,9,16,59:65,-6,48,NL2,2007
12,Cambuur-Leeuwarden bvo,38,13,8,17,43:56,-13,47,NL2,2007
13,MVV Maastricht,38,11,13,14,48:50,-2,46,NL2,2007
14,HFC Haarlem,38,10,13,15,43:57,-14,43,NL2,2007
15,Fortuna Sittard,38,12,7,19,38:57,-19,43,NL2,2007
16,FC Omniworld,38,11,8,19,55:81,-26,41,NL2,2007
17,TOP Oss,38,11,7,20,58:78,-20,40,NL2,2007
18,Helmond Sport,38,8,12,18,39:76,-37,36,NL2,2007
19,FC Eindhoven,38,7,12,19,47:80,-33,33,NL2,2007
20,AGOVV Apeldoorn,38,7,8,23,42:79,-37,29,NL2,2007
