Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,PSV Eindhoven,34,27,6,1,89:18,71,87,NL1,2005
2,Ajax Amsterdam,34,24,5,5,74:33,41,77,NL1,2005
3,AZ Alkmaar,34,19,7,8,71:41,30,64,NL1,2005
4,Feyenoord Rotterdam,34,19,5,10,90:51,39,62,NL1,2005
5,SC Heerenveen,34,18,6,10,64:52,12,60,NL1,2005
6,Twente Enschede FC,34,15,9,10,48:38,10,54,NL1,2005
7,Vitesse Arnhem,34,16,6,12,53:49,4,54,NL1,2005
8,Roda JC Kerkrade,34,13,8,13,60:55,5,47,NL1,2005
9,RKC Waalwijk,34,13,8,13,44:51,-7,47,NL1,2005
10,Willem II Tilburg,34,13,6,15,44:56,-12,45,NL1,2005
11,FC Utrecht,34,12,8,14,40:43,-3,44,NL1,2005
12,FC Groningen,34,11,7,16,50:58,-8,40,NL1,2005
13,NEC Nijmegen,34,9,10,15,41:47,-6,37,NL1,2005
14,ADO Den Haag,34,10,6,18,44:59,-15,36,NL1,2005
15,NAC Breda,34,9,8,17,43:67,-24,35,NL1,2005
16,RBC Roosendaal,34,10,2,22,38:77,-39,32,NL1,2005
17,De Graafschap Doetinchem,34,4,7,23,32:78,-46,19,NL1,2005
18,FC Den Bosch,34,5,4,25,23:75,-52,19,NL1,2005
