Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,1. FC Köln,34,20,7,7,62:33,29,67,L2,2005
2,MSV Duisburg,34,19,5,10,50:37,13,62,L2,2005
3,Eintracht Frankfurt,34,19,4,11,65:39,26,61,L2,2005
4,TSV 1860 Munich,34,15,12,7,52:39,13,57,L2,2005
5,SpVgg Greuther Fürth,34,17,5,12,51:42,9,56,L2,2005
6,Alemannia Aachen,34,16,6,12,60:40,20,54,L2,2005
7,FC Erzgebirge Aue,34,15,6,13,49:40,9,51,L2,2005
8,SG Dynamo Dresden,34,15,4,15,48:53,-5,49,L2,2005
9,SV Wacker Burghausen,34,13,9,12,48:55,-7,48,L2,2005
10,SpVgg Unterhaching,34,14,3,17,40:43,-3,45,L2,2005
11,Karlsruher SC,34,11,10,13,46:47,-1,43,L2,2005
12,1.FC Saarbrücken,34,11,7,16,44:50,-6,40,L2,2005
13,LR Ahlen,34,10,9,15,43:49,-6,39,L2,2005
14,FC Energie Cottbus,34,10,9,15,35:48,-13,39,L2,2005
15,SV Eintracht Trier 05,34,9,12,13,39:53,-14,39,L2,2005
16,Rot-Weiß Oberhausen,34,8,10,16,40:62,-22,34,L2,2005
17,Rot-Weiss Essen,34,6,15,13,35:51,-16,33,L2,2005
18,Rot-Weiß Erfurt,34,7,9,18,34:60,-26,30,L2,2005
