Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Internazionale,38,25,10,3,69:26,43,85,IT1,2008
2,AS Roma,38,24,10,4,72:37,35,82,IT1,2008
3,Juventus FC,38,20,12,6,72:37,35,72,IT1,2008
4,ACF Fiorentina,38,19,9,10,55:39,16,66,IT1,2008
5,AC Milan,38,18,10,10,66:38,28,64,IT1,2008
6,UC Sampdoria,38,17,9,12,56:46,10,60,IT1,2008
7,Udinese Calcio,38,16,9,13,48:53,-5,57,IT1,2008
8,SSC Napoli,38,14,8,16,50:53,-3,50,IT1,2008
9,Atalanta BC,38,12,12,14,52:56,-4,48,IT1,2008
10,Genoa CFC,38,13,9,16,44:52,-8,48,IT1,2008
11,US Palermo,38,12,11,15,47:57,-10,47,IT1,2008
12,SS Lazio,38,11,13,14,47:51,-4,46,IT1,2008
13,AC Siena,38,9,17,12,40:45,-5,44,IT1,2008
14,Cagliari Calcio,38,11,9,18,40:56,-16,42,IT1,2008
15,Torino FC,38,8,16,14,36:49,-13,40,IT1,2008
16,Reggina Calcio,38,9,13,16,37:56,-19,40,IT1,2008
17,Calcio Catania,38,8,13,17,33:45,-12,37,IT1,2008
18,Empoli FC ,38,9,9,20,29:52,-23,36,IT1,2008
19,Parma FC,38,7,13,18,42:62,-20,34,IT1,2008
20,AS Livorno,38,6,12,20,35:60,-25,30,IT1,2008
