Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,30,6,2,95:21,74,96,ES1,2011
2,Real Madrid,38,29,5,4,102:33,69,92,ES1,2011
3,Valencia CF,38,21,8,9,64:44,20,71,ES1,2011
4,Villarreal CF,38,18,8,12,54:44,10,62,ES1,2011
5,Sevilla FC,38,17,7,14,62:61,1,58,ES1,2011
6,Athletic Bilbao,38,18,4,16,59:55,4,58,ES1,2011
7,Atlético de Madrid,38,17,7,14,62:53,9,58,ES1,2011
8,RCD Espanyol Barcelona,38,15,4,19,46:55,-9,49,ES1,2011
9,CA Osasuna,38,13,8,17,45:46,-1,47,ES1,2011
10,Sporting Gijón,38,11,14,13,35:42,-7,47,ES1,2011
11,Málaga CF,38,13,7,18,54:68,-14,46,ES1,2011
12,Racing Santander,38,12,10,16,41:56,-15,46,ES1,2011
13,Real Zaragoza,38,12,9,17,40:53,-13,45,ES1,2011
14,Levante UD,38,12,9,17,41:52,-11,45,ES1,2011
15,Real Sociedad,38,14,3,21,49:66,-17,45,ES1,2011
16,Getafe CF,38,12,8,18,49:60,-11,44,ES1,2011
17,RCD Mallorca,38,12,8,18,41:56,-15,44,ES1,2011
18,Deportivo de La Coruña,38,10,13,15,31:47,-16,43,ES1,2011
19,Hércules CF,38,9,8,21,36:60,-24,35,ES1,2011
20,UD Almería,38,6,12,20,36:70,-34,30,ES1,2011
