Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,GD Estoril Praia,34,20,10,4,55:26,29,70,PO2,2021
2,FC Vizela,34,18,12,4,59:35,24,66,PO2,2021
3,FC Arouca,34,19,8,7,45:25,20,65,PO2,2021
4,Académica Coimbra,34,17,11,6,46:30,16,62,PO2,2021
5,CD Feirense,34,17,7,10,48:33,15,58,PO2,2021
6,GD Chaves,34,16,9,9,46:36,10,57,PO2,2021
7,FC Penafiel,34,12,10,12,42:42,0,46,PO2,2021
8,SL Benfica B,34,12,8,14,52:43,9,44,PO2,2021
9,Casa Pia AC,34,10,13,11,41:46,-5,43,PO2,2021
10,Leixões SC,34,10,10,14,35:43,-8,40,PO2,2021
11,CD Cova Piedade,34,8,13,13,39:48,-9,37,PO2,2021
12,CD Mafra,34,9,10,15,35:48,-13,37,PO2,2021
13,SC Covilhã,34,8,13,13,36:42,-6,37,PO2,2021
14,Académico Viseu FC,34,9,9,16,32:45,-13,36,PO2,2021
15,Varzim SC,34,9,6,19,26:44,-18,33,PO2,2021
16,FC Porto B,34,7,11,16,45:52,-7,32,PO2,2021
17,UD Vilafranquense,34,5,16,13,34:54,-20,31,PO2,2021
18,UD Oliveirense,34,7,10,17,25:49,-24,31,PO2,2021
