Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,1. FC Köln,34,19,6,9,84:47,37,63,L2,2019
2,SC Paderborn 07,34,16,9,9,76:50,26,57,L2,2019
3,1.FC Union Berlin,34,14,15,5,54:33,21,57,L2,2019
4,Hamburger SV,34,16,8,10,45:42,3,56,L2,2019
5,1.FC Heidenheim 1846,34,15,10,9,55:45,10,55,L2,2019
6,Holstein Kiel,34,13,10,11,60:51,9,49,L2,2019
7,Arminia Bielefeld,34,13,10,11,52:50,2,49,L2,2019
8,SSV Jahn Regensburg,34,12,13,9,55:54,1,49,L2,2019
9,FC St. Pauli,34,14,7,13,46:53,-7,49,L2,2019
10,SV Darmstadt 98,34,13,7,14,45:53,-8,46,L2,2019
11,VfL Bochum,34,11,11,12,49:50,-1,44,L2,2019
12,SG Dynamo Dresden,34,11,9,14,41:48,-7,42,L2,2019
13,SpVgg Greuther Fürth,34,10,12,12,37:56,-19,42,L2,2019
14,FC Erzgebirge Aue,34,11,7,16,43:47,-4,40,L2,2019
15,SV Sandhausen,34,9,11,14,45:52,-7,38,L2,2019
16,FC Ingolstadt 04,34,9,8,17,43:55,-12,35,L2,2019
17,1.FC Magdeburg,34,6,13,15,35:53,-18,31,L2,2019
18,MSV Duisburg,34,6,10,18,39:65,-26,28,L2,2019
