Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Chievo Verona,42,24,13,5,77:43,34,85,IT2,2008
2,Bologna FC 1909,42,24,12,6,58:29,29,84,IT2,2008
3,US Lecce,42,23,14,5,70:29,41,83,IT2,2008
4,UC AlbinoLeffe,42,23,9,10,67:48,19,78,IT2,2008
5,Brescia Calcio,42,20,12,10,59:40,19,72,IT2,2008
6,AC Pisa 1909,42,19,14,9,61:44,17,71,IT2,2008
7,Rimini FC,42,20,9,13,68:46,22,69,IT2,2008
8,Ascoli Calcio 1898,42,16,14,12,64:49,15,62,IT2,2008
9,AC Mantova 1911,42,16,12,14,56:49,7,60,IT2,2008
10,Frosinone Calcio,42,15,11,16,63:67,-4,56,IT2,2008
11,AS Bari,42,13,16,13,50:55,-5,55,IT2,2008
12,US Triestina,42,13,12,17,55:67,-12,51,IT2,2008
13,US Grosseto FC,42,10,19,13,47:54,-7,49,IT2,2008
14,FC Messina Peloro,42,13,10,19,38:62,-24,49,IT2,2008
15,Piacenza FC,42,13,8,21,43:59,-16,47,IT2,2008
16,Modena FC,42,10,16,16,57:65,-8,46,IT2,2008
17,Vicenza Calcio,42,10,15,17,43:60,-17,45,IT2,2008
18,Treviso FBC 1993,42,11,12,19,41:52,-11,45,IT2,2008
19,US Avellino,42,8,12,22,42:64,-22,36,IT2,2008
20,Ravenna Calcio,42,8,11,23,48:75,-27,35,IT2,2008
21,Spezia Calcio 1906,42,6,16,20,45:66,-21,33,IT2,2008
22,AC Cesena,42,5,17,20,37:66,-29,32,IT2,2008
