Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto,30,21,7,2,61:18,43,70,PO1,2009
2,Sporting CP,30,20,6,4,45:20,25,66,PO1,2009
3,SL Benfica,30,17,8,5,54:32,22,59,PO1,2009
4,CD Nacional,30,15,7,8,47:32,15,52,PO1,2009
5,SC Braga,30,13,11,6,38:21,17,50,PO1,2009
6,Leixões SC,30,12,10,8,30:27,3,46,PO1,2009
7,Académica Coimbra,30,10,9,11,28:32,-4,39,PO1,2009
8,Vitória Guimarães SC,30,10,8,12,32:36,-4,38,PO1,2009
9,CS Marítimo,30,9,10,11,35:36,-1,37,PO1,2009
10,Clube Futebol Estrela da Amadora,30,8,10,12,26:38,-12,34,PO1,2009
11,FC Paços de Ferreira,30,8,8,14,33:42,-9,32,PO1,2009
12,Rio Ave FC,30,8,6,16,20:35,-15,30,PO1,2009
13,Naval 1º de Maio,30,7,8,15,25:39,-14,29,PO1,2009
14,Vitória Setúbal FC,30,7,5,18,21:46,-25,26,PO1,2009
15,CF Os Belenenses,30,5,9,16,28:52,-24,24,PO1,2009
16,CD Trofense,30,5,8,17,25:42,-17,23,PO1,2009
