Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam,34,22,10,2,83:31,52,76,NL1,2013
2,PSV Eindhoven,34,22,3,9,103:43,60,69,NL1,2013
3,Feyenoord Rotterdam,34,21,6,7,64:38,26,69,NL1,2013
4,Vitesse Arnhem,34,19,7,8,68:42,26,64,NL1,2013
5,FC Utrecht,34,19,6,9,55:41,14,63,NL1,2013
6,Twente Enschede FC,34,17,11,6,60:33,27,62,NL1,2013
7,FC Groningen,34,12,7,15,36:53,-17,43,NL1,2013
8,SC Heerenveen,34,11,9,14,50:63,-13,42,NL1,2013
9,ADO Den Haag,34,9,13,12,49:63,-14,40,NL1,2013
10,AZ Alkmaar,34,10,9,15,56:54,2,39,NL1,2013
11,PEC Zwolle,34,10,9,15,42:55,-13,39,NL1,2013
12,Heracles Almelo,34,9,11,14,58:71,-13,38,NL1,2013
13,NAC Breda,34,10,8,16,40:56,-16,38,NL1,2013
14,RKC Waalwijk,34,9,10,15,39:48,-9,37,NL1,2013
15,NEC Nijmegen,34,10,7,17,44:66,-22,37,NL1,2013
16,Roda JC Kerkrade,34,7,12,15,51:69,-18,33,NL1,2013
17,VVV-Venlo,34,6,10,18,33:62,-29,28,NL1,2013
18,Willem II Tilburg,34,5,8,21,33:76,-43,23,NL1,2013
