Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Évian Thonon Gaillard,38,18,13,7,63:41,22,67,FR2,2011
2,AC Ajaccio,38,17,13,8,45:37,8,64,FR2,2011
3,Dijon FCO,38,17,11,10,55:40,15,62,FR2,2011
4,Le Mans FC,38,17,11,10,48:37,11,62,FR2,2011
5,CS Sedan-Ardennes,38,15,14,9,57:37,20,59,FR2,2011
6,Angers SCO,38,14,15,9,41:32,9,57,FR2,2011
7,Clermont Foot Auvergne 63,38,12,16,10,51:49,2,52,FR2,2011
8,US Boulogne,38,13,13,12,35:41,-6,52,FR2,2011
9,AC Le Havre,38,12,13,13,43:38,5,49,FR2,2011
10,Stade Reims,38,12,13,13,53:51,2,49,FR2,2011
11,FC Istres Ouest Provence ,38,12,13,13,45:47,-2,49,FR2,2011
12,Tours FC,38,13,10,15,52:59,-7,49,FR2,2011
13,FC Nantes,38,11,14,13,38:40,-2,47,FR2,2011
14,LB Châteauroux,38,12,11,15,41:47,-6,47,FR2,2011
15,Stade Lavallois,38,11,14,13,36:43,-7,47,FR2,2011
16,ESTAC Troyes,38,13,7,18,35:45,-10,46,FR2,2011
17,FC Metz,38,10,15,13,43:40,3,45,FR2,2011
18,Vannes OC,38,12,8,18,39:61,-22,44,FR2,2011
19,Nîmes Olympique,38,9,10,19,35:46,-11,37,FR2,2011
20,Grenoble Foot 38,38,7,12,19,36:60,-24,33,FR2,2011
