Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Montpellier HSC,38,25,7,6,68:34,34,82,FR1,2012
2,Paris Saint-Germain,38,23,10,5,75:41,34,79,FR1,2012
3,LOSC Lille,38,21,11,6,72:39,33,74,FR1,2012
4,Olympique Lyon,38,19,7,12,64:51,13,64,FR1,2012
5,FC Girondins Bordeaux,38,16,13,9,53:41,12,61,FR1,2012
6,Stade Rennais FC,38,17,9,12,53:44,9,60,FR1,2012
7,AS Saint-Étienne,38,16,9,13,49:45,4,57,FR1,2012
8,FC Toulouse,38,15,11,12,37:34,3,56,FR1,2012
9,FC Évian Thonon Gaillard,38,13,11,14,54:55,-1,50,FR1,2012
10,Olympique Marseille,38,12,12,14,45:41,4,48,FR1,2012
11,AS Nancy-Lorraine,38,11,12,15,38:48,-10,45,FR1,2012
12,Valenciennes FC,38,12,7,19,40:50,-10,43,FR1,2012
13,OGC Nice,38,10,12,16,39:46,-7,42,FR1,2012
14,FC Sochaux-Montbéliard,38,11,9,18,40:60,-20,42,FR1,2012
15,Stade Brestois 29,38,8,17,13,31:38,-7,41,FR1,2012
16,AC Ajaccio,38,9,14,15,40:61,-21,41,FR1,2012
17,FC Lorient,38,9,12,17,35:49,-14,39,FR1,2012
18,SM Caen,38,9,11,18,39:59,-20,38,FR1,2012
19,Dijon FCO,38,9,9,20,38:63,-25,36,FR1,2012
20,AJ Auxerre,38,7,13,18,46:57,-11,34,FR1,2012
