Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Deportivo de La Coruña,42,29,4,9,76:45,31,91,ES2,2012
2,Celta de Vigo,42,26,7,9,83:37,46,85,ES2,2012
3,Real Valladolid CF,42,23,13,6,69:37,32,82,ES2,2012
4,AD Alcorcón,42,21,10,11,58:42,16,73,ES2,2012
5,Hércules CF,42,22,6,14,62:43,19,72,ES2,2012
6,Córdoba CF,42,20,11,11,52:43,9,71,ES2,2012
7,UD Almería,42,18,16,8,63:43,20,70,ES2,2012
8,FC Barcelona B,42,16,11,15,63:53,10,59,ES2,2012
9,UD Las Palmas,42,16,10,16,58:59,-1,58,ES2,2012
10,CD Numancia,42,15,12,15,54:52,2,57,ES2,2012
11,Elche CF,42,17,6,19,56:58,-2,57,ES2,2012
12,Villarreal CF B,42,14,10,18,54:64,-10,52,ES2,2012
13,SD Huesca,42,14,9,19,49:63,-14,51,ES2,2012
14,Xerez CD,42,13,11,18,50:66,-16,50,ES2,2012
15,Girona FC,42,12,13,17,58:61,-3,49,ES2,2012
16,CD Guadalajara,42,14,7,21,50:75,-25,49,ES2,2012
17,Recreativo Huelva,42,12,11,19,49:52,-3,47,ES2,2012
18,Real Murcia CF,42,13,8,21,49:67,-18,47,ES2,2012
19,CE Sabadell FC,42,11,13,18,45:64,-19,46,ES2,2012
20,FC Cartagena,42,9,13,20,37:58,-21,40,ES2,2012
21,CD Alcoyano,42,9,10,23,46:78,-32,37,ES2,2012
22,Gimnàstic de Tarragona,42,6,13,23,37:58,-21,31,ES2,2012
