Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Juventus FC,42,28,10,4,83:30,53,85,IT2,2007
2,SSC Napoli,42,21,16,5,52:29,23,79,IT2,2007
3,Genoa CFC,42,23,9,10,68:44,24,78,IT2,2007
4,Piacenza FC,42,20,8,14,57:50,7,68,IT2,2007
5,Rimini FC,42,17,16,9,55:38,17,67,IT2,2007
6,Brescia Calcio,42,19,10,13,51:43,8,67,IT2,2007
7,Bologna FC 1909,42,18,11,13,52:43,9,65,IT2,2007
8,AC Mantova 1911,42,15,19,8,47:36,11,64,IT2,2007
9,US Lecce,42,17,7,18,56:53,3,58,IT2,2007
10,UC AlbinoLeffe,42,11,20,11,46:48,-2,53,IT2,2007
11,Vicenza Calcio,42,12,14,16,42:43,-1,50,IT2,2007
12,Frosinone Calcio,42,12,14,16,44:54,-10,50,IT2,2007
13,Treviso FBC 1993,42,11,17,14,44:47,-3,50,IT2,2007
14,AS Bari,42,12,14,16,40:46,-6,50,IT2,2007
15,AC Cesena,42,12,13,17,50:65,-15,49,IT2,2007
16,Modena FC,42,12,13,17,38:46,-8,49,IT2,2007
17,US Triestina,42,11,16,15,37:48,-11,48,IT2,2007
18,Hellas Verona,42,12,12,18,34:46,-12,48,IT2,2007
19,Spezia Calcio 1906,42,11,13,18,49:60,-11,46,IT2,2007
20,AC Arezzo,42,12,15,15,42:46,-4,45,IT2,2007
21,FC Crotone,42,7,11,24,36:67,-31,32,IT2,2007
22,Delfino Pescara 1936,42,5,10,27,36:77,-41,24,IT2,2007
