Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Rayo Vallecano,42,21,13,8,67:48,19,76,ES2,2018
2,SD Huesca,42,21,12,9,61:40,21,75,ES2,2018
3,Real Zaragoza,42,20,11,11,57:44,13,71,ES2,2018
4,Sporting Gijón,42,21,8,13,60:40,20,71,ES2,2018
5,Real Valladolid CF,42,19,10,13,69:55,14,67,ES2,2018
6,CD Numancia,42,18,11,13,52:41,11,65,ES2,2018
7,Real Oviedo,42,18,11,13,54:48,6,65,ES2,2018
8,CA Osasuna,42,16,16,10,44:34,10,64,ES2,2018
9,Cádiz CF,42,16,16,10,42:29,13,64,ES2,2018
10,Granada CF,42,17,10,15,55:50,5,61,ES2,2018
11,CD Tenerife,42,15,14,13,58:50,8,59,ES2,2018
12,CD Lugo,42,15,10,17,39:48,-9,55,ES2,2018
13,AD Alcorcón,42,12,16,14,37:42,-5,52,ES2,2018
14,CF Reus Deportiu,42,12,16,14,31:42,-11,52,ES2,2018
15,Gimnàstic de Tarragona,42,15,7,20,44:50,-6,52,ES2,2018
16,Córdoba CF,42,15,6,21,57:65,-8,51,ES2,2018
17,Albacete Balompié,42,11,16,15,35:46,-11,49,ES2,2018
18,UD Almería,42,12,12,18,38:45,-7,48,ES2,2018
19,Cultural Leonesa,42,11,15,16,54:67,-13,48,ES2,2018
20,FC Barcelona B,42,10,14,18,46:54,-8,44,ES2,2018
21,Lorca FC,42,8,9,25,37:68,-31,33,ES2,2018
22,Sevilla Atlético,42,7,11,24,29:60,-31,32,ES2,2018
