Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Paris Saint-Germain,38,30,6,2,102:19,83,96,FR1,2016
2,Olympique Lyon,38,19,8,11,67:43,24,65,FR1,2016
3,AS Monaco,38,17,14,7,57:50,7,65,FR1,2016
4,OGC Nice,38,18,9,11,58:41,17,63,FR1,2016
5,LOSC Lille,38,15,15,8,39:27,12,60,FR1,2016
6,AS Saint-Étienne,38,17,7,14,42:37,5,58,FR1,2016
7,SM Caen,38,16,6,16,39:52,-13,54,FR1,2016
8,Stade Rennais FC,38,13,13,12,52:54,-2,52,FR1,2016
9,Angers SCO,38,13,11,14,40:38,2,50,FR1,2016
10,SC Bastia,38,14,8,16,36:42,-6,50,FR1,2016
11,FC Girondins Bordeaux,38,12,14,12,50:57,-7,50,FR1,2016
12,Montpellier HSC,38,14,7,17,49:47,2,49,FR1,2016
13,Olympique Marseille,38,10,18,10,48:42,6,48,FR1,2016
14,FC Nantes,38,12,12,14,33:44,-11,48,FR1,2016
15,FC Lorient,38,11,13,14,47:58,-11,46,FR1,2016
16,EA Guingamp,38,11,11,16,47:56,-9,44,FR1,2016
17,FC Toulouse,38,9,13,16,45:55,-10,40,FR1,2016
18,Stade Reims,38,10,9,19,44:57,-13,39,FR1,2016
19,GFC Ajaccio,38,8,13,17,37:58,-21,37,FR1,2016
20,ESTAC Troyes,38,3,9,26,28:83,-55,18,FR1,2016
