Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Willem II Tilburg,38,24,7,7,78:38,40,79,NL2,2014
2,FC Dordrecht,38,21,10,7,83:50,33,73,NL2,2014
3,Excelsior Rotterdam,38,18,12,8,70:39,31,66,NL2,2014
4,FC Den Bosch,38,18,8,12,61:60,1,62,NL2,2014
5,VVV-Venlo,38,18,7,13,58:52,6,61,NL2,2014
6,FC Eindhoven,38,18,6,14,69:60,9,60,NL2,2014
7,De Graafschap Doetinchem,38,16,10,12,67:48,19,58,NL2,2014
8,Fortuna Sittard,38,15,11,12,59:45,14,56,NL2,2014
9,FC Volendam,38,16,8,14,67:71,-4,56,NL2,2014
10,PSV Eindhoven U21,38,15,9,14,62:57,5,54,NL2,2014
11,MVV Maastricht,38,15,8,15,46:46,0,53,NL2,2014
12,FC Emmen,38,14,9,15,64:68,-4,51,NL2,2014
13,Helmond Sport,38,13,12,13,62:67,-5,51,NL2,2014
14,Ajax Amsterdam U21,38,15,5,18,57:72,-15,50,NL2,2014
15,SC Telstar,38,13,6,19,50:79,-29,45,NL2,2014
16,Sparta Rotterdam,38,12,8,18,58:51,7,44,NL2,2014
17,FC Twente Enschede U21,38,12,7,19,47:61,-14,43,NL2,2014
18,Almere City FC,38,11,8,19,49:65,-16,41,NL2,2014
19,FC Oss,38,9,4,25,49:78,-29,31,NL2,2014
20,Achilles '29,38,6,7,25,40:89,-49,25,NL2,2014
