Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,28,4,6,70:20,50,88,ES1,2023
2,Real Madrid,38,24,6,8,75:36,39,78,ES1,2023
3,Atlético de Madrid,38,23,8,7,70:33,37,77,ES1,2023
4,Real Sociedad,38,21,8,9,51:35,16,71,ES1,2023
5,Villarreal CF,38,19,7,12,59:40,19,64,ES1,2023
6,Real Betis Balompié,38,17,9,12,46:41,5,60,ES1,2023
7,CA Osasuna,38,15,8,15,37:42,-5,53,ES1,2023
8,Athletic Bilbao,38,14,9,15,47:43,4,51,ES1,2023
9,RCD Mallorca,38,14,8,16,37:43,-6,50,ES1,2023
10,Girona FC,38,13,10,15,58:55,3,49,ES1,2023
11,Sevilla FC,38,13,10,15,47:54,-7,49,ES1,2023
12,Rayo Vallecano,38,13,10,15,45:53,-8,49,ES1,2023
13,Celta de Vigo,38,11,10,17,43:53,-10,43,ES1,2023
14,Valencia CF,38,11,9,18,42:45,-3,42,ES1,2023
15,Getafe CF,38,10,12,16,34:45,-11,42,ES1,2023
16,Cádiz CF,38,10,12,16,30:53,-23,42,ES1,2023
17,UD Almería,38,11,8,19,49:65,-16,41,ES1,2023
18,Real Valladolid CF,38,11,7,20,33:63,-30,40,ES1,2023
19,RCD Espanyol Barcelona,38,8,13,17,52:69,-17,37,ES1,2023
20,Elche CF,38,5,10,23,30:67,-37,25,ES1,2023
