Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,25,9,4,73:29,44,84,ES1,2005
2,Real Madrid,38,25,5,8,71:32,39,80,ES1,2005
3,Villarreal CF,38,18,11,9,69:37,32,65,ES1,2005
4,Real Betis Balompié,38,16,14,8,62:50,12,62,ES1,2005
5,RCD Espanyol Barcelona,38,17,10,11,54:46,8,61,ES1,2005
6,Sevilla FC,38,17,9,12,44:41,3,60,ES1,2005
7,Valencia CF,38,14,16,8,54:39,15,58,ES1,2005
8,Deportivo de La Coruña,38,12,15,11,46:50,-4,51,ES1,2005
9,Athletic Bilbao,38,14,9,15,59:54,5,51,ES1,2005
10,Málaga CF,38,15,6,17,40:48,-8,51,ES1,2005
11,Atlético de Madrid,38,13,11,14,40:34,6,50,ES1,2005
12,Real Zaragoza,38,14,8,16,52:57,-5,50,ES1,2005
13,Getafe CF,38,12,11,15,38:46,-8,47,ES1,2005
14,Real Sociedad,38,13,8,17,47:56,-9,47,ES1,2005
15,CA Osasuna,38,12,10,16,46:65,-19,46,ES1,2005
16,Racing Santander,38,12,8,18,41:58,-17,44,ES1,2005
17,RCD Mallorca,38,10,9,19,42:63,-21,39,ES1,2005
18,Levante UD,38,9,10,19,39:58,-19,37,ES1,2005
19,CD Numancia,38,6,11,21,30:61,-31,29,ES1,2005
20,Albacete Balompié,38,6,10,22,33:56,-23,28,ES1,2005
