Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto B,46,26,8,12,84:52,32,86,PO2,2016
2,GD Chaves,46,21,18,7,60:39,21,81,PO2,2016
3,CD Feirense,46,21,15,10,55:38,17,78,PO2,2016
4,Portimonense SC,46,20,18,8,57:45,12,78,PO2,2016
5,SC Freamunde,46,20,14,12,52:36,16,74,PO2,2016
6,FC Famalicão,46,18,18,10,64:51,13,72,PO2,2016
7,SC Olhanense,46,19,12,15,42:39,3,69,PO2,2016
8,Desportivo Aves (- 2020),46,19,10,17,58:48,10,67,PO2,2016
9,Varzim SC,46,17,14,15,51:48,3,65,PO2,2016
10,Sporting CP B,46,18,11,17,61:59,2,65,PO2,2016
11,Gil Vicente FC,46,16,14,16,58:56,2,62,PO2,2016
12,FC Penafiel,46,13,22,11,49:46,3,61,PO2,2016
13,Vitória Guimarães SC B,46,16,12,18,60:67,-7,60,PO2,2016
14,SC Covilhã,46,13,19,14,45:48,-3,58,PO2,2016
15,CD Santa Clara,46,15,12,19,49:52,-3,57,PO2,2016
16,SC Braga B,46,15,12,19,47:54,-7,57,PO2,2016
17,Académico Viseu FC,46,13,17,16,46:60,-14,56,PO2,2016
18,Leixões SC,46,14,13,19,45:56,-11,55,PO2,2016
19,SL Benfica B,46,15,10,21,58:64,-6,55,PO2,2016
20,SC Farense,46,15,11,20,49:55,-6,54,PO2,2016
21,CD Mafra,46,12,18,16,37:40,-3,54,PO2,2016
22,Atlético CP,46,12,15,19,49:56,-7,51,PO2,2016
23,Clube Oriental Lissabon,46,9,14,23,47:67,-20,41,PO2,2016
24,UD Oliveirense,46,6,11,29,42:89,-47,29,PO2,2016
