Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SL Benfica,34,28,3,3,82:20,62,87,PO1,2023
2,FC Porto,34,27,4,3,73:22,51,85,PO1,2023
3,SC Braga,34,25,3,6,75:30,45,78,PO1,2023
4,Sporting CP,34,23,5,6,71:32,39,74,PO1,2023
5,FC Arouca,34,15,9,10,36:37,-1,54,PO1,2023
6,Vitória Guimarães SC,34,16,5,13,34:39,-5,53,PO1,2023
7,GD Chaves,34,12,10,12,35:40,-5,46,PO1,2023
8,FC Famalicão,34,13,5,16,39:47,-8,44,PO1,2023
9,Boavista FC,34,12,8,14,43:54,-11,44,PO1,2023
10,Casa Pia AC,34,11,8,15,31:40,-9,41,PO1,2023
11,FC Vizela,34,11,7,16,34:38,-4,40,PO1,2023
12,Rio Ave FC,34,10,10,14,36:43,-7,40,PO1,2023
13,Gil Vicente FC,34,10,7,17,32:41,-9,37,PO1,2023
14,GD Estoril Praia,34,10,5,19,33:49,-16,35,PO1,2023
15,Portimonense SC,34,10,4,20,25:48,-23,34,PO1,2023
16,CS Marítimo,34,7,5,22,32:63,-31,26,PO1,2023
17,FC Paços de Ferreira,34,6,5,23,26:62,-36,23,PO1,2023
18,CD Santa Clara,34,5,7,22,26:58,-32,22,PO1,2023
