Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,1.FC Heidenheim 1846,34,19,10,5,67:36,31,67,L2,2023
2,SV Darmstadt 98,34,20,7,7,50:33,17,67,L2,2023
3,Hamburger SV,34,20,6,8,70:45,25,66,L2,2023
4,Fortuna Düsseldorf,34,17,7,10,60:43,17,58,L2,2023
5,FC St. Pauli,34,16,10,8,55:39,16,58,L2,2023
6,SC Paderborn 07,34,16,7,11,68:44,24,55,L2,2023
7,Karlsruher SC,34,13,7,14,56:53,3,46,L2,2023
8,Holstein Kiel,34,12,10,12,58:61,-3,46,L2,2023
9,1.FC Kaiserslautern,34,11,12,11,47:48,-1,45,L2,2023
10,Hannover 96,34,12,8,14,50:55,-5,44,L2,2023
11,1.FC Magdeburg,34,12,7,15,48:55,-7,43,L2,2023
12,SpVgg Greuther Fürth,34,10,11,13,47:50,-3,41,L2,2023
13,FC Hansa Rostock,34,12,5,17,32:48,-16,41,L2,2023
14,1.FC Nuremberg,34,10,9,15,32:49,-17,39,L2,2023
15,Eintracht Braunschweig,34,9,9,16,42:59,-17,36,L2,2023
16,Arminia Bielefeld,34,9,7,18,50:62,-12,34,L2,2023
17,SSV Jahn Regensburg,34,8,7,19,34:58,-24,31,L2,2023
18,SV Sandhausen,34,7,7,20,35:63,-28,28,L2,2023
