Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SC Freiburg,34,21,5,8,60:36,24,68,L2,2009
2,1.FSV Mainz 05,34,18,9,7,62:37,25,63,L2,2009
3,1.FC Nuremberg,34,16,12,6,51:29,22,60,L2,2009
4,Alemannia Aachen,34,16,8,10,58:38,20,56,L2,2009
5,SpVgg Greuther Fürth,34,16,8,10,60:46,14,56,L2,2009
6,MSV Duisburg,34,14,13,7,56:36,20,55,L2,2009
7,1.FC Kaiserslautern,34,15,7,12,53:48,5,52,L2,2009
8,FC St. Pauli,34,14,6,14,52:59,-7,48,L2,2009
9,Rot-Weiß Oberhausen,34,11,9,14,35:54,-19,42,L2,2009
10,Rot Weiss Ahlen,34,11,8,15,38:57,-19,41,L2,2009
11,FC Augsburg,34,10,10,14,43:46,-3,40,L2,2009
12,TSV 1860 Munich,34,9,12,13,44:46,-2,39,L2,2009
13,FC Hansa Rostock,34,8,14,12,52:53,-1,38,L2,2009
14,TuS Koblenz,34,11,8,15,47:57,-10,38,L2,2009
15,FSV Frankfurt,34,9,11,14,34:47,-13,38,L2,2009
16,VfL Osnabrück,34,8,12,14,41:60,-19,36,L2,2009
17,FC Ingolstadt 04,34,7,10,17,38:54,-16,31,L2,2009
18,SV Wehen Wiesbaden,34,5,12,17,28:49,-21,27,L2,2009
