Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,24,5,5,97:37,60,77,L1,2022
2,Borussia Dortmund,34,22,3,9,85:52,33,69,L1,2022
3,Bayer 04 Leverkusen,34,19,7,8,80:47,33,64,L1,2022
4,RB Leipzig,34,17,7,10,72:37,35,58,L1,2022
5,1.FC Union Berlin,34,16,9,9,50:44,6,57,L1,2022
6,SC Freiburg,34,15,10,9,58:46,12,55,L1,2022
7,1. FC Köln,34,14,10,10,52:49,3,52,L1,2022
8,1.FSV Mainz 05,34,13,7,14,50:45,5,46,L1,2022
9,TSG 1899 Hoffenheim,34,13,7,14,58:60,-2,46,L1,2022
10,Borussia Mönchengladbach,34,12,9,13,54:61,-7,45,L1,2022
11,Eintracht Frankfurt,34,10,12,12,45:49,-4,42,L1,2022
12,VfL Wolfsburg,34,12,6,16,43:54,-11,42,L1,2022
13,VfL Bochum,34,12,6,16,38:52,-14,42,L1,2022
14,FC Augsburg,34,10,8,16,39:56,-17,38,L1,2022
15,VfB Stuttgart,34,7,12,15,41:59,-18,33,L1,2022
16,Hertha BSC,34,9,6,19,37:71,-34,33,L1,2022
17,Arminia Bielefeld,34,5,13,16,27:53,-26,28,L1,2022
18,SpVgg Greuther Fürth,34,3,9,22,28:82,-54,18,L1,2022
